strain	age	age_sd	isotype
ED3040	69.1074890573113	2.21936782843802	ED3040
ED3048	67.1262098799986	1.88941813622381	ED3048
ED3049	70.4512279052906	1.62291272454529	ED3049
ED3052	65.9295957234038	1.82466254292317	ED3052
ED3073	65.5111077123543	0.566283201168944	ED3073
ED3077	65.2887859564842	0.382566111170212	ED3077
EG4347	64.8768368206073	0.111544854477175	EG4347
EG4724	62.8170911412228	0.249164608514338	EG4724
EG4946	63.8698500440193	0.443873565687603	EG4946
GXW1	63.765228041257	0.190527159104524	GXW1
JT11398	68.3162851614207	1.7215009315536	JT11398
JU1088	65.7072739675337	1.02726956815052	JU1088
JU1172	65.4718744613184	1.47546932738768	JU1172
JU1200	65.3737913337286	0.158559296327309	JU1200
JU1212	65.7988182199508	0.108039948939783	JU1212
JU1213	68.9832504290309	2.20809788483182	JU1213
JU1242	64.4648876847304	1.37726780346306	JU1242
JU1246	66.243461731691	0.324119846819363	JU1246
JU1395	63.8240779178108	0.516902114895331	JU1395
JU1409	65.981906724785	1.19070385342044	JU1409
JU1440	68.460140415219	1.02645762065258	JU1440
JU1491	63.9090832950552	0.342027552984054	JU1491
JU1530	62.8040133908775	0.980111735700156	JU1530
JU1543	63.6213727874587	1.12284120510963	JU1543
JU1568	67.734325271055	0.832262935664255	JU1568
JU1581	67.0869766289627	2.24710992629349	JU1581
JU1586	63.6082950371134	0.242115043245354	JU1586
JU1652	64.6545150647372	0.221936782843797	JU1652
JU1666	65.8184348454688	0.343337649638444	JU1666
JU1792	63.6736837888399	0.284947944905909	JU1792
JU1793	63.9483165460911	0.0277420978554758	JU1793
JU1808	62.9151742688126	0.560477350106188	JU1808
JU1896	63.9777414843681	0.457744614615341	JU1896
JU1934	65.7824710320192	0.707423495314619	JU1934
JU2001	65.5961130895987	0.756703542417061	JU2001
JU2007	68.3359017869387	2.07272029033139	JU2007
JU2016	66.0178705382346	0.208065733916064	JU2016
JU2017	65.6876573420158	0.31711859265461	JU2017
JU2106	64.8964534461252	0.392495948195798	JU2106
JU2131	63.1048016488194	0.56888214002047	JU2131
JU2141	62.647080386734	0.941870438587655	JU2141
JU2234	62.7517023894963	0.363304988779406	JU2234
JU2250	65.5634187137354	0.697793269174667	JU2250
JU2257	65.6418852158072	0.408823528234748	JU2257
JU2464	66.3480837344533	0.609484903416035	JU2464
JU2466	64.8114480688808	1.41484699062924	JU2466
JU2478	66.2500006068636	1.78988495252846	JU2478
JU2513	66.4919389882516	0.560477350106186	JU2513
JU2519	65.498029962009	2.05843748891945	JU2519
JU2522	66.9038881241285	0.593166448528384	JU2522
JU2526	63.5069424719373	0.152581538205112	JU2526
