wild_strain	dist_exp	domain	n_tx	dist_gene	n_variants	n_swept_chr	genotype	cv_dist_exp	cv_dist_exp_x	cv_dist_exp_y	cv_dist_gene	cv_dist_gene_x	cv_dist_gene_y
AB1	25.9887817933302	Tip	1308	58.821764679411	64010	4	swept	0.16	20.3469899493758	46.6433081846139	0.38	134.558537447462	20.114305317267
BRC20067	22.8107584886242	Tip	1308	35.9304884464434	64010	3	swept	NA	NA	NA	NA	NA	NA
BRC20263	25.559468459203	Tip	1308	36.7559518989782	64010	3	swept	NA	NA	NA	NA	NA	NA
CB4852	29.4546869960778	Tip	1308	28.9136645896019	64010	4	swept	NA	NA	NA	NA	NA	NA
CB4855	24.5649419060172	Tip	1308	38.6652298583624	64010	1	swept	NA	NA	NA	NA	NA	NA
CB4856	25.5621606293994	Tip	1308	64.8459713474939	64010	0	divergent	NA	NA	NA	NA	NA	NA
CB4857	27.0685531143446	Tip	1308	36.4417343165772	64010	2	swept	NA	NA	NA	NA	NA	NA
CB4858	24.9442987118866	Tip	1308	32.5576411921994	64010	4	swept	NA	NA	NA	NA	NA	NA
CX11254	45.3388354450483	Tip	1308	41.6052881254294	64010	2	swept	NA	NA	NA	NA	NA	NA
CX11262	27.4437224250736	Tip	1308	35.1140997321589	64010	2	swept	NA	NA	NA	NA	NA	NA
CX11264	30.7964335416042	Tip	1308	28.8097205817759	64010	2	swept	NA	NA	NA	NA	NA	NA
CX11271	27.9890545046071	Tip	1308	31.7804971641414	64010	3	swept	NA	NA	NA	NA	NA	NA
CX11276	22.0165886718872	Tip	1308	38.0657326213486	64010	3	swept	NA	NA	NA	NA	NA	NA
CX11285	31.1643028559531	Tip	1308	68.9637585982667	64010	2	swept	NA	NA	NA	NA	NA	NA
CX11292	25.7221967624032	Tip	1308	32.2800247831379	64010	4	swept	NA	NA	NA	NA	NA	NA
CX11307	27.1326376955911	Tip	1308	68.1689078686171	64010	2	swept	NA	NA	NA	NA	NA	NA
CX11314	26.717149672667	Tip	1308	29.9165506033032	64010	4	swept	NA	NA	NA	NA	NA	NA
CX11315	27.9355188113112	Tip	1308	29.6647939483827	64010	3	swept	NA	NA	NA	NA	NA	NA
DL200	24.3191753853225	Tip	1308	47.3497624070069	64010	3	swept	NA	NA	NA	NA	NA	NA
DL226	26.0763761092745	Tip	1308	38.7814388593306	64010	3	swept	NA	NA	NA	NA	NA	NA
DL238	25.3828537723881	Tip	1308	85.0705589496155	64010	0	divergent	NA	NA	NA	NA	NA	NA
ECA189	29.9857525090577	Tip	1308	100.344406919369	64010	0	divergent	NA	NA	NA	NA	NA	NA
ECA348	34.1651362041691	Tip	1308	68.854919940408	64010	0	divergent	NA	NA	NA	NA	NA	NA
ECA349	34.0735411348309	Tip	1308	56.2316636780382	64010	3	swept	NA	NA	NA	NA	NA	NA
ECA363	39.2628555866426	Tip	1308	101.941159498997	64010	0	divergent	NA	NA	NA	NA	NA	NA
ECA372	24.649919163343	Tip	1308	56.3116329012043	64010	0	divergent	NA	NA	NA	NA	NA	NA
ECA592	28.20328334249	Tip	1308	62.4739945897491	64010	1	swept	NA	NA	NA	NA	NA	NA
ECA594	29.5930005835936	Tip	1308	36.2491379207837	64010	1	swept	NA	NA	NA	NA	NA	NA
ECA703	30.9211191675365	Tip	1308	61.9838688692469	64010	0	divergent	NA	NA	NA	NA	NA	NA
ECA705	28.4168569647865	Tip	1308	70.971825395716	64010	0	divergent	NA	NA	NA	NA	NA	NA
ECA710	29.9548083316071	Tip	1308	88.1305849294103	64010	0	divergent	NA	NA	NA	NA	NA	NA
ECA738	27.0881294011429	Tip	1308	64.0390505863415	64010	0	divergent	NA	NA	NA	NA	NA	NA
ECA743	29.5873621972089	Tip	1308	92.3742388331292	64010	0	divergent	NA	NA	NA	NA	NA	NA
ECA745	29.4321263011199	Tip	1308	109.804371497678	64010	0	divergent	NA	NA	NA	NA	NA	NA
ECA777	30.441269130575	Tip	1308	77.051930540383	64010	0	divergent	NA	NA	NA	NA	NA	NA
ECA812	40.0395403898277	Tip	1308	42.3910367884533	64010	0	divergent	NA	NA	NA	NA	NA	NA
ECA923	28.9222314014015	Tip	1308	40.9267638593622	64010	2	swept	NA	NA	NA	NA	NA	NA
ED3005	23.4269475646536	Tip	1308	29.1376045686669	64010	2	swept	NA	NA	NA	NA	NA	NA
ED3012	35.3745652994917	Tip	1308	67.7273947527882	64010	4	swept	NA	NA	NA	NA	NA	NA
ED3017	24.5063744860411	Tip	1308	41.4366987102013	64010	4	swept	NA	NA	NA	NA	NA	NA
ED3040	25.9176369667157	Tip	1308	37.8153408023781	64010	3	swept	NA	NA	NA	NA	NA	NA
ED3048	24.4755674220206	Tip	1308	43.5660418215839	64010	4	swept	NA	NA	NA	NA	NA	NA
ED3049	27.276947693119	Tip	1308	77.5693238335877	64010	0	divergent	NA	NA	NA	NA	NA	NA
ED3052	26.5711307799203	Tip	1308	51.4975727583349	64010	3	swept	NA	NA	NA	NA	NA	NA
ED3073	20.5596399682297	Tip	1308	34.2782730020052	64010	4	swept	NA	NA	NA	NA	NA	NA
ED3077	25.2112208665155	Tip	1308	38	64010	4	swept	NA	NA	NA	NA	NA	NA
EG4347	21.7557407441747	Tip	1308	24.6373699895098	64010	3	swept	NA	NA	NA	NA	NA	NA
EG4724	34.073954102034	Tip	1308	74.4580418759451	64010	2	swept	NA	NA	NA	NA	NA	NA
EG4946	28.870701385589	Tip	1308	22.2710574513201	64010	4	swept	NA	NA	NA	NA	NA	NA
GXW1	27.8957262685667	Tip	1308	58.36951259005	64010	3	swept	NA	NA	NA	NA	NA	NA
JT11398	23.8382754339873	Tip	1308	39.522145690739	64010	3	swept	NA	NA	NA	NA	NA	NA
JU1088	23.9597156112009	Tip	1308	66.4906008395172	64010	3	swept	NA	NA	NA	NA	NA	NA
JU1172	24.0306634603277	Tip	1308	32.7261363439071	64010	4	swept	NA	NA	NA	NA	NA	NA
JU1200	23.6004052163091	Tip	1308	21.4476105895272	64010	4	swept	NA	NA	NA	NA	NA	NA
JU1212	28.8616805953369	Tip	1308	55.6237359406935	64010	1	swept	NA	NA	NA	NA	NA	NA
JU1213	28.1925716354859	Tip	1308	40.8778668719394	64010	2	swept	NA	NA	NA	NA	NA	NA
JU1242	29.3642371936638	Tip	1308	63.4113554499508	64010	3	swept	NA	NA	NA	NA	NA	NA
JU1246	24.3955530932086	Tip	1308	67.483331275212	64010	1	swept	NA	NA	NA	NA	NA	NA
JU1395	27.7424868163302	Tip	1308	29.2061637330205	64010	4	swept	NA	NA	NA	NA	NA	NA
JU1409	23.1174160848535	Tip	1308	30.4795013082563	64010	4	swept	NA	NA	NA	NA	NA	NA
JU1440	27.931084225244	Tip	1308	54.8634668973808	64010	4	swept	NA	NA	NA	NA	NA	NA
JU1491	28.0255799650989	Tip	1308	67.3201307188273	64010	2	swept	NA	NA	NA	NA	NA	NA
JU1530	39.1460591890269	Tip	1308	32.542280190546	64010	3	swept	NA	NA	NA	NA	NA	NA
JU1543	31.3881323290559	Tip	1308	70.2922470831599	64010	4	swept	NA	NA	NA	NA	NA	NA
JU1568	20.928672064027	Tip	1308	20.5669638012031	64010	4	swept	NA	NA	NA	NA	NA	NA
JU1581	25.9485867284791	Tip	1308	58.4037670017954	64010	1	swept	NA	NA	NA	NA	NA	NA
JU1586	35.5747799634005	Tip	1308	51.7397332811061	64010	4	swept	NA	NA	NA	NA	NA	NA
JU1652	24.9296449565702	Tip	1308	77.8524244966077	64010	3	swept	NA	NA	NA	NA	NA	NA
JU1666	23.0878611948628	Tip	1308	48.2078831727758	64010	2	swept	NA	NA	NA	NA	NA	NA
JU1792	27.8017890501334	Tip	1308	52.8677595515452	64010	3	swept	NA	NA	NA	NA	NA	NA
JU1793	29.9125580653963	Tip	1308	68.1689078686171	64010	1	swept	NA	NA	NA	NA	NA	NA
JU1808	32.6948399602455	Tip	1308	31.9217793990247	64010	2	swept	NA	NA	NA	NA	NA	NA
JU1896	26.9160825809781	Tip	1308	76.6485485837795	64010	2	swept	NA	NA	NA	NA	NA	NA
JU1934	30.9756531212358	Tip	1308	58.4636639289739	64010	2	swept	NA	NA	NA	NA	NA	NA
JU2001	25.3090204036554	Tip	1308	72.9246186140181	64010	2	swept	NA	NA	NA	NA	NA	NA
JU2007	25.1606463919803	Tip	1308	38.2361085886103	64010	3	swept	NA	NA	NA	NA	NA	NA
JU2016	28.0877176692234	Tip	1308	32.1869538788622	64010	4	swept	NA	NA	NA	NA	NA	NA
JU2017	22.0988398010207	Tip	1308	50.1198563445667	64010	2	swept	NA	NA	NA	NA	NA	NA
JU2106	27.997640669143	Tip	1308	60.5061980296234	64010	1	swept	NA	NA	NA	NA	NA	NA
JU2131	32.8586746739659	Tip	1308	47.169905660283	64010	2	swept	NA	NA	NA	NA	NA	NA
JU2141	35.0056371762033	Tip	1308	60.0166643524946	64010	2	swept	NA	NA	NA	NA	NA	NA
JU2234	35.1601815198123	Tip	1308	81.8962758616044	64010	3	swept	NA	NA	NA	NA	NA	NA
JU2250	22.6832539032151	Tip	1308	56.8154908453672	64010	2	swept	NA	NA	NA	NA	NA	NA
JU2257	22.2523111283626	Tip	1308	42.614551505325	64010	2	swept	NA	NA	NA	NA	NA	NA
JU2464	25.131842032929	Tip	1308	49.8497743224581	64010	4	swept	NA	NA	NA	NA	NA	NA
JU2466	27.3266332149441	Tip	1308	37.0944739819828	64010	4	swept	NA	NA	NA	NA	NA	NA
JU2478	24.1717068146958	Tip	1308	41.0487515035476	64010	3	swept	NA	NA	NA	NA	NA	NA
JU2513	22.128835356104	Tip	1308	75.914425506619	64010	4	swept	NA	NA	NA	NA	NA	NA
JU2519	27.6710131649589	Tip	1308	74.2024258363566	64010	1	swept	NA	NA	NA	NA	NA	NA
JU2522	25.806530592678	Tip	1308	73.5866835779409	64010	1	swept	NA	NA	NA	NA	NA	NA
JU2526	33.0293823451233	Tip	1308	90.160967164289	64010	0	divergent	NA	NA	NA	NA	NA	NA
JU2534	23.2322245892342	Tip	1308	29.732137494637	64010	3	swept	NA	NA	NA	NA	NA	NA
JU2565	29.540838737297	Tip	1308	20.3469899493758	64010	2	swept	NA	NA	NA	NA	NA	NA
JU2566	25.0480041653662	Tip	1308	41.6653333119993	64010	3	swept	NA	NA	NA	NA	NA	NA
JU2570	32.9895528112683	Tip	1308	55.1724568965349	64010	2	swept	NA	NA	NA	NA	NA	NA
JU2572	28.8062173648115	Tip	1308	82.2678552048125	64010	3	swept	NA	NA	NA	NA	NA	NA
JU2575	32.4195561564459	Tip	1308	39.6610640301039	64010	3	swept	NA	NA	NA	NA	NA	NA
JU2576	34.3079448066491	Tip	1308	55.4075807087803	64010	1	swept	NA	NA	NA	NA	NA	NA
JU2578	27.6808131976999	Tip	1308	36.6742416417845	64010	3	swept	NA	NA	NA	NA	NA	NA
JU2581	31.7364177359343	Tip	1308	36.8646171823335	64010	2	swept	NA	NA	NA	NA	NA	NA
JU2586	25.9372189208749	Tip	1308	39.7240481320824	64010	2	swept	NA	NA	NA	NA	NA	NA
