wild_strain	dist_exp	domain	n_tx	dist_gene	n_variants	n_swept_chr	genotype	cv_dist_exp	cv_dist_exp_x	cv_dist_exp_y	cv_dist_gene	cv_dist_gene_x	cv_dist_gene_y
JU2592	28.7419602542898	Tip	1308	54.8543526076099	64010	3	swept	NA	NA	NA	NA	NA	NA
JU2600	30.4622147075121	Tip	1308	62.5299928034539	64010	2	swept	NA	NA	NA	NA	NA	NA
JU2610	34.9520614396687	Tip	1308	62.080592780675	64010	2	swept	NA	NA	NA	NA	NA	NA
JU2619	25.4389797376764	Tip	1308	21.6333076527839	64010	3	swept	NA	NA	NA	NA	NA	NA
JU2811	25.9684943899406	Tip	1308	70.0285656000464	64010	2	swept	NA	NA	NA	NA	NA	NA
JU2838	29.3213490775856	Tip	1308	34.7562943939655	64010	2	swept	NA	NA	NA	NA	NA	NA
JU2841	31.9294443580565	Tip	1308	65.9924238075857	64010	3	swept	NA	NA	NA	NA	NA	NA
JU2853	27.8043853160098	Tip	1308	33.3466640010661	64010	3	swept	NA	NA	NA	NA	NA	NA
JU2862	28.776455762608	Tip	1308	32.9696830436691	64010	3	swept	NA	NA	NA	NA	NA	NA
JU2866	31.8347184813505	Tip	1308	56.3293884220306	64010	3	swept	NA	NA	NA	NA	NA	NA
JU2879	29.4750176008624	Tip	1308	55.0454357780915	64010	2	swept	NA	NA	NA	NA	NA	NA
JU2906	29.0233739872695	Tip	1308	28.6006992921502	64010	4	swept	NA	NA	NA	NA	NA	NA
JU2907	20.114305317267	Tip	1308	35.4823899984203	64010	3	swept	NA	NA	NA	NA	NA	NA
JU310	23.7912828101519	Tip	1308	32.5115364140177	64010	3	swept	NA	NA	NA	NA	NA	NA
JU311	30.3918561830418	Tip	1308	36.0693775937429	64010	2	swept	NA	NA	NA	NA	NA	NA
JU3128	27.09950406166	Tip	1308	34.6987031457949	64010	3	swept	NA	NA	NA	NA	NA	NA
JU3132	30.9176817438297	Tip	1308	39.496835316263	64010	2	swept	NA	NA	NA	NA	NA	NA
JU3134	23.598359383255	Tip	1308	64.55230437405	64010	2	swept	NA	NA	NA	NA	NA	NA
JU3140	38.3930532249364	Tip	1308	46.6154480832267	64010	2	swept	NA	NA	NA	NA	NA	NA
JU3144	27.5228340818913	Tip	1308	65.1843539509291	64010	4	swept	NA	NA	NA	NA	NA	NA
JU323	31.0518279923575	Tip	1308	37.1483512420134	64010	3	swept	NA	NA	NA	NA	NA	NA
JU346	23.2542252500474	Tip	1308	36.0693775937429	64010	2	swept	NA	NA	NA	NA	NA	NA
JU360	28.2511617675091	Tip	1308	47.2863616701476	64010	3	swept	NA	NA	NA	NA	NA	NA
JU367	22.2476029903904	Tip	1308	37.2827037646145	64010	3	swept	NA	NA	NA	NA	NA	NA
JU394	24.697243555172	Tip	1308	80.3616824114578	64010	2	swept	NA	NA	NA	NA	NA	NA
JU397	32.8153797199463	Tip	1308	56.8770604022395	64010	2	swept	NA	NA	NA	NA	NA	NA
JU406	20.9907191041974	Tip	1308	63.4192399828317	64010	2	swept	NA	NA	NA	NA	NA	NA
JU440	21.5400631845596	Tip	1308	50.3587132480567	64010	4	swept	NA	NA	NA	NA	NA	NA
JU642	27.5106528215547	Tip	1308	37.7359245282264	64010	3	swept	NA	NA	NA	NA	NA	NA
JU774	33.0125735825018	Tip	1308	63.4034699365894	64010	4	swept	NA	NA	NA	NA	NA	NA
JU775	26.769201950687	Tip	1308	48.8466989672793	64010	1	swept	NA	NA	NA	NA	NA	NA
JU778	25.5741929464367	Tip	1308	82.9939756849857	64010	2	swept	NA	NA	NA	NA	NA	NA
JU782	27.202725325632	Tip	1308	97.8365984690801	64010	2	swept	NA	NA	NA	NA	NA	NA
JU792	24.9045058995969	Tip	1308	56.8066897468951	64010	2	swept	NA	NA	NA	NA	NA	NA
JU830	25.0649409829746	Tip	1308	30.2158898594763	64010	3	swept	NA	NA	NA	NA	NA	NA
JU847	26.9863077004175	Tip	1308	82.9698740507662	64010	2	swept	NA	NA	NA	NA	NA	NA
KR314	25.5053397574162	Tip	1308	41.9761837236307	64010	4	swept	NA	NA	NA	NA	NA	NA
LKC34	23.1704634608024	Tip	1308	32.8937684067971	64010	2	swept	NA	NA	NA	NA	NA	NA
MY1	28.5474591074601	Tip	1308	78.7400787401181	64010	3	swept	NA	NA	NA	NA	NA	NA
MY10	25.5168278238418	Tip	1308	64.6142399166004	64010	4	swept	NA	NA	NA	NA	NA	NA
MY16	22.3565010728456	Tip	1308	55.7853027239254	64010	0	divergent	NA	NA	NA	NA	NA	NA
MY18	25.4315244064677	Tip	1308	50.7346035758633	64010	1	swept	NA	NA	NA	NA	NA	NA
MY2147	24.5095973584604	Tip	1308	56.7890834580027	64010	1	swept	NA	NA	NA	NA	NA	NA
MY2212	27.6485374002335	Tip	1308	44.8107130048162	64010	3	swept	NA	NA	NA	NA	NA	NA
MY23	23.0880191306568	Tip	1308	74.1956872061982	64010	0	divergent	NA	NA	NA	NA	NA	NA
MY2573	31.5107051848165	Tip	1308	35.4541958024717	64010	2	swept	NA	NA	NA	NA	NA	NA
MY2585	24.8489962946348	Tip	1308	64.5755371638518	64010	3	swept	NA	NA	NA	NA	NA	NA
MY2713	22.838010976526	Tip	1308	62.3858958419289	64010	3	swept	NA	NA	NA	NA	NA	NA
MY518	26.9763726552921	Tip	1308	34.5253530032641	64010	2	swept	NA	NA	NA	NA	NA	NA
MY772	25.1756988190785	Tip	1308	32.2645316098034	64010	1	swept	NA	NA	NA	NA	NA	NA
MY795	25.331081371681	Tip	1308	37.841775856849	64010	2	swept	NA	NA	NA	NA	NA	NA
MY920	27.9424209860049	Tip	1308	43.139309220246	64010	4	swept	NA	NA	NA	NA	NA	NA
NIC1	33.0086806092185	Tip	1308	42.8602379834737	64010	4	swept	NA	NA	NA	NA	NA	NA
NIC166	27.8425496524862	Tip	1308	47.549973711875	64010	2	swept	NA	NA	NA	NA	NA	NA
NIC199	30.7731946890506	Tip	1308	57.6107628833363	64010	1	swept	NA	NA	NA	NA	NA	NA
NIC2	21.3864992494452	Tip	1308	25.5342906696074	64010	4	swept	NA	NA	NA	NA	NA	NA
NIC207	22.5220067816512	Tip	1308	37.841775856849	64010	4	swept	NA	NA	NA	NA	NA	NA
NIC231	26.3752789599792	Tip	1308	36.0970912955601	64010	3	swept	NA	NA	NA	NA	NA	NA
NIC236	22.5707374626927	Tip	1308	63.5373905665003	64010	1	swept	NA	NA	NA	NA	NA	NA
NIC242	22.4939132632582	Tip	1308	46.0760241340331	64010	3	swept	NA	NA	NA	NA	NA	NA
NIC251	27.0732391683424	Tip	1308	84.9646985518103	64010	0	divergent	NA	NA	NA	NA	NA	NA
NIC252	26.6124023713297	Tip	1308	92.8170243005021	64010	0	divergent	NA	NA	NA	NA	NA	NA
NIC255	22.8940948062942	Tip	1308	41.024382993532	64010	4	swept	NA	NA	NA	NA	NA	NA
NIC256	30.0651499280706	Tip	1308	82.7526434623088	64010	2	swept	NA	NA	NA	NA	NA	NA
NIC258	46.6433081846139	Tip	1308	81.7863069223693	64010	1	swept	NA	NA	NA	NA	NA	NA
NIC259	23.4944027538077	Tip	1308	35.9722114972099	64010	2	swept	NA	NA	NA	NA	NA	NA
NIC260	34.2572053225033	Tip	1308	55.5427763079953	64010	3	swept	NA	NA	NA	NA	NA	NA
NIC261	30.0157103262484	Tip	1308	57	64010	2	swept	NA	NA	NA	NA	NA	NA
NIC265	29.6346862144616	Tip	1308	62.072538211354	64010	0	divergent	NA	NA	NA	NA	NA	NA
NIC266	23.4569382422843	Tip	1308	70.2566722810012	64010	0	divergent	NA	NA	NA	NA	NA	NA
NIC267	28.1707750303697	Tip	1308	37.0944739819828	64010	2	swept	NA	NA	NA	NA	NA	NA
NIC268	43.7922255007951	Tip	1308	47.4552420708187	64010	0	divergent	NA	NA	NA	NA	NA	NA
NIC271	26.9244670327092	Tip	1308	83.7257427557379	64010	2	swept	NA	NA	NA	NA	NA	NA
NIC274	34.2317847352902	Tip	1308	85.0940655980192	64010	2	swept	NA	NA	NA	NA	NA	NA
NIC275	30.610029590522	Tip	1308	92.6660671443436	64010	4	swept	NA	NA	NA	NA	NA	NA
NIC276	26.9207350111872	Tip	1308	37.2558720203943	64010	2	swept	NA	NA	NA	NA	NA	NA
NIC277	29.3296175844328	Tip	1308	41	64010	3	swept	NA	NA	NA	NA	NA	NA
NIC3	26.3182145590962	Tip	1308	40.9389789809174	64010	3	swept	NA	NA	NA	NA	NA	NA
NIC501	26.6795159108287	Tip	1308	41.9761837236307	64010	1	swept	NA	NA	NA	NA	NA	NA
NIC511	24.2013321113905	Tip	1308	31.7175030543074	64010	2	swept	NA	NA	NA	NA	NA	NA
NIC513	35.6794130171705	Tip	1308	90.746900773525	64010	1	swept	NA	NA	NA	NA	NA	NA
NIC514	28.0645916341766	Tip	1308	74.3841380940856	64010	2	swept	NA	NA	NA	NA	NA	NA
NIC515	26.4998816326707	Tip	1308	31.7332633052449	64010	3	swept	NA	NA	NA	NA	NA	NA
NIC523	33.2178797427711	Tip	1308	41.6893271713517	64010	2	swept	NA	NA	NA	NA	NA	NA
NIC526	33.5414151521293	Tip	1308	70.6894617322837	64010	2	swept	NA	NA	NA	NA	NA	NA
NIC527	30.3427181813839	Tip	1308	63.8983567863838	64010	2	swept	NA	NA	NA	NA	NA	NA
NIC528	29.1842056540345	Tip	1308	69.1809222257119	64010	3	swept	NA	NA	NA	NA	NA	NA
NIC529	30.3915696386453	Tip	1308	40.3360880601974	64010	3	swept	NA	NA	NA	NA	NA	NA
PB306	29.6990961244089	Tip	1308	65.8710862214978	64010	1	swept	NA	NA	NA	NA	NA	NA
PS2025	30.720563553801	Tip	1308	69.8999284692052	64010	1	swept	NA	NA	NA	NA	NA	NA
PX179	24.1481979809854	Tip	1308	26.6270539113887	64010	3	swept	NA	NA	NA	NA	NA	NA
QG2075	22.4517904631271	Tip	1308	32.8785644455472	64010	2	swept	NA	NA	NA	NA	NA	NA
QG556	35.6853191147988	Tip	1308	44.3621460256377	64010	1	swept	NA	NA	NA	NA	NA	NA
QW947	26.647224559187	Tip	1308	66.9103878332804	64010	3	swept	NA	NA	NA	NA	NA	NA
QX1212	21.9305122356584	Tip	1308	35.7351367704113	64010	4	swept	NA	NA	NA	NA	NA	NA
QX1233	35.5018511092952	Tip	1308	32.8176781628439	64010	1	swept	NA	NA	NA	NA	NA	NA
QX1791	31.7286159812807	Tip	1308	95.8175349296777	64010	0	divergent	NA	NA	NA	NA	NA	NA
QX1792	35.23399129186	Tip	1308	69.8498389404013	64010	1	swept	NA	NA	NA	NA	NA	NA
QX1793	26.80154329621	Tip	1308	39.2810386828047	64010	0	divergent	NA	NA	NA	NA	NA	NA
QX1794	26.4397525514803	Tip	1308	67.4314466699329	64010	0	divergent	NA	NA	NA	NA	NA	NA
RC301	28.2872744054093	Tip	1308	64.4592894779333	64010	3	swept	NA	NA	NA	NA	NA	NA
WN2050	21.4126928455455	Tip	1308	53.7680202350803	64010	1	swept	NA	NA	NA	NA	NA	NA
XZ1513	27.4614721469336	Tip	1308	90.5648938607008	64010	0	divergent	NA	NA	NA	NA	NA	NA
XZ1515	40.3243753549908	Tip	1308	30.3150127824482	64010	1	swept	NA	NA	NA	NA	NA	NA
XZ1516	32.6640884438364	Tip	1308	134.558537447462	64010	0	divergent	NA	NA	NA	NA	NA	NA
AB1	69.7005859217442	Arm	7135	123.927398100662	404638	4	swept	0.16	42.9185274677499	115.721976045231	0.23	360.269343686082	51.4577389222886
BRC20067	60.0659516067436	Arm	7135	122.494897852931	404638	3	swept	NA	NA	NA	NA	NA	NA
BRC20263	65.7633983355601	Arm	7135	140.659162517058	404638	3	swept	NA	NA	NA	NA	NA	NA
CB4852	74.2574588056696	Arm	7135	103.94229168149	404638	4	swept	NA	NA	NA	NA	NA	NA
CB4855	68.0908896532717	Arm	7135	136.4148085803	404638	1	swept	NA	NA	NA	NA	NA	NA
CB4856	70.1197610482061	Arm	7135	185.679831968903	404638	0	divergent	NA	NA	NA	NA	NA	NA
CB4857	69.7369651782567	Arm	7135	133.10897790908	404638	2	swept	NA	NA	NA	NA	NA	NA
CB4858	64.312063427801	Arm	7135	124.727703418286	404638	4	swept	NA	NA	NA	NA	NA	NA
CX11254	112.464977278739	Arm	7135	131.426785702154	404638	2	swept	NA	NA	NA	NA	NA	NA
CX11262	69.3221519359807	Arm	7135	144.377976159801	404638	2	swept	NA	NA	NA	NA	NA	NA
CX11264	82.2009444955016	Arm	7135	145.660564326794	404638	2	swept	NA	NA	NA	NA	NA	NA
CX11271	70.6815148545883	Arm	7135	123.170613378354	404638	3	swept	NA	NA	NA	NA	NA	NA
CX11276	56.832606129033	Arm	7135	136.301137192615	404638	3	swept	NA	NA	NA	NA	NA	NA
CX11285	76.7999250809224	Arm	7135	157.56268593801	404638	2	swept	NA	NA	NA	NA	NA	NA
CX11292	64.8750375350507	Arm	7135	112.552210107132	404638	4	swept	NA	NA	NA	NA	NA	NA
CX11307	71.9422474985281	Arm	7135	140.516902897836	404638	2	swept	NA	NA	NA	NA	NA	NA
CX11314	69.897552981475	Arm	7135	126.015872016187	404638	4	swept	NA	NA	NA	NA	NA	NA
CX11315	77.5525929113106	Arm	7135	136.271787248865	404638	3	swept	NA	NA	NA	NA	NA	NA
DL200	66.9743995613157	Arm	7135	149.19115255269	404638	3	swept	NA	NA	NA	NA	NA	NA
DL226	68.518702386414	Arm	7135	146.379643393472	404638	3	swept	NA	NA	NA	NA	NA	NA
DL238	67.2965425223834	Arm	7135	196.178490156286	404638	0	divergent	NA	NA	NA	NA	NA	NA
ECA189	77.6857477884483	Arm	7135	167.496268615155	404638	0	divergent	NA	NA	NA	NA	NA	NA
ECA348	86.5612201192803	Arm	7135	162.984661855035	404638	0	divergent	NA	NA	NA	NA	NA	NA
ECA349	83.8851929897987	Arm	7135	149.197855212466	404638	3	swept	NA	NA	NA	NA	NA	NA
ECA363	103.988500296361	Arm	7135	270.146256683301	404638	0	divergent	NA	NA	NA	NA	NA	NA
ECA372	69.2340872096982	Arm	7135	169.855821213169	404638	0	divergent	NA	NA	NA	NA	NA	NA
ECA592	81.1579622744208	Arm	7135	170.490468941815	404638	1	swept	NA	NA	NA	NA	NA	NA
ECA594	78.8407577141386	Arm	7135	158.395075681032	404638	1	swept	NA	NA	NA	NA	NA	NA
ECA703	82.9780406385887	Arm	7135	191.697678650525	404638	0	divergent	NA	NA	NA	NA	NA	NA
ECA705	74.9219743340932	Arm	7135	177.141186628068	404638	0	divergent	NA	NA	NA	NA	NA	NA
ECA710	83.23040950012	Arm	7135	172.380393316641	404638	0	divergent	NA	NA	NA	NA	NA	NA
ECA738	72.6749320692669	Arm	7135	179.150774488976	404638	0	divergent	NA	NA	NA	NA	NA	NA
ECA743	76.6276810047884	Arm	7135	183.021856618274	404638	0	divergent	NA	NA	NA	NA	NA	NA
ECA745	80.1297110723719	Arm	7135	253.883831702612	404638	0	divergent	NA	NA	NA	NA	NA	NA
ECA777	82.1256909568512	Arm	7135	175.336818723279	404638	0	divergent	NA	NA	NA	NA	NA	NA
ECA812	100.33091519702	Arm	7135	173.709527660402	404638	0	divergent	NA	NA	NA	NA	NA	NA
ECA923	70.2980414166904	Arm	7135	165.172636959031	404638	2	swept	NA	NA	NA	NA	NA	NA
ED3005	57.0952497860344	Arm	7135	136.557680120893	404638	2	swept	NA	NA	NA	NA	NA	NA
ED3012	85.8352212081935	Arm	7135	69.462219947249	404638	4	swept	NA	NA	NA	NA	NA	NA
ED3017	62.3821133112631	Arm	7135	134.710801348667	404638	4	swept	NA	NA	NA	NA	NA	NA
ED3040	66.8562299783767	Arm	7135	129.5646556743	404638	3	swept	NA	NA	NA	NA	NA	NA
ED3048	62.1738493925939	Arm	7135	119.092401100994	404638	4	swept	NA	NA	NA	NA	NA	NA
ED3049	68.665356694814	Arm	7135	147.220922426128	404638	0	divergent	NA	NA	NA	NA	NA	NA
ED3052	67.6231741427071	Arm	7135	129.903810567666	404638	3	swept	NA	NA	NA	NA	NA	NA
ED3073	54.7090717084148	Arm	7135	129.240086660448	404638	4	swept	NA	NA	NA	NA	NA	NA
ED3077	63.9604353251933	Arm	7135	141.936605567415	404638	4	swept	NA	NA	NA	NA	NA	NA
EG4347	54.0960552398146	Arm	7135	102.313244499429	404638	3	swept	NA	NA	NA	NA	NA	NA
EG4724	88.5488819392849	Arm	7135	140.75865870347	404638	2	swept	NA	NA	NA	NA	NA	NA
EG4946	75.7157965056166	Arm	7135	110.851251684408	404638	4	swept	NA	NA	NA	NA	NA	NA
GXW1	74.14216015065	Arm	7135	129.02325371808	404638	3	swept	NA	NA	NA	NA	NA	NA
