strain	original_pheno	original_exp	regressed_pheno	regressed_from	variantPOS	ben1_prediction
AB1	-14.3818523126207	4.00226291615579	-23.1498086223119	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
BRC20067	120.732511607697	2.52615857865504	13.4069139003268	Albendazole_q90.TOF_REG_C54C6.2.1	III_3539563	Frameshift
BRC20263	-47.7311380260603	3.42635444254539	-94.9517831992508	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
CB4852	-11.4276052568318	4.69458136341401	26.0296757181279	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
CB4856	-46.6608766289012	3.95317441322917	-58.7064109154863	Albendazole_q90.TOF_REG_C54C6.2.1	III_3538333	Deletion
CB4857	-16.6766516916379	4.51364808851455	8.69994069552087	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
CB4858	-36.2252296031573	4.16088253515837	-34.4023522358995	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
CX11262	-34.5531708038862	4.42702507769103	-14.9602885655552	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
CX11264	-39.7705566400325	4.69792255747848	-2.09018831407727	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
CX11271	145.119797542548	2.83615175898381	58.4920569760208	Albendazole_q90.TOF_REG_C54C6.2.1	III_3539358	Stop gained
CX11276	-35.9533791528382	4.00511145225513	-44.5311422680137	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
CX11285	-3.15882282283879	4.29990076364639	7.94612787960151	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
CX11292	-22.9960992602319	4.43084628439679	-3.14807982689044	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
CX11307	-84.5841580923576	4.48989404548678	-60.793593464212	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
CX11314	22.026721472516	4.12633303748879	21.5427720692802	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
CX11315	-22.7174710411279	4.27710655607086	-13.1344610844055	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
DL200	-19.4020722845734	4.21752221966714	-13.7974339856021	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
DL226	-34.6645978397272	4.50429297666952	-9.91263457602104	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
DL238	-33.3263855487293	3.57268615531324	-70.7766451836585	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
ECA189	-11.4322292633604	4.36161460690667	3.79327760763477	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
ECA348	141.36962285351	2.78949864953595	51.6269124882801	Albendazole_q90.TOF_REG_C54C6.2.1	III_3539575	Frameshift
ECA349	-7.91560990486358	4.68014038113295	28.577464735267	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
ECA372	-90.995167426899	3.95342377192163	-103.024052345302	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
ED3012	141.818430197767	5.22298771407886	214.5567426676	Albendazole_q90.TOF_REG_C54C6.2.1	III_3540299	Frameshift
ED3017	31.7289357892678	4.17141638779291	34.2551453289985	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
ED3040	-24.1496864961749	4.0659925963012	-28.6624917284054	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
ED3048	-16.3234068416753	4.37511335218981	-0.196605622350504	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
ED3049	-11.0636537819517	4.01970765813554	-18.6668464766081	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
ED3052	-27.9294829234754	4.42704453661629	-8.33530143702964	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
ED3073	-13.2675338747651	4.19859574215252	-8.92659282023489	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
EG4347	-33.0523019724714	4.40698546653955	-14.7974395200321	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
EG4724	110.720350219649	4.98880801700971	167.82277705457	Albendazole_q90.TOF_REG_C54C6.2.1	III_3540145	Missense
EG4946	172.614681826728	3.78501547070749	149.341385156539	Albendazole_q90.TOF_REG_C54C6.2.1	III_3538394	Stop gained
GXW1	-9.78846286526317	4.70678714412391	28.4837828297527	Albendazole_q90.TOF_REG_C54C6.2.1	III_3538451	Missense
JT11398	-34.53098034761	3.8215140670243	-55.3673113671173	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
JU1088	86.4850411183997	4.31647725716722	98.6967835716339	Albendazole_q90.TOF_REG_C54C6.2.1	III_3539699	Missense
JU1172	-53.5625516309801	4.33529918586602	-40.094092527045	Albendazole_q90.TOF_REG_C54C6.2.1	NA	NA
