iso	sample
1	iso1	AB1_GZr_B3_C9
2	iso1	BRC20067_GZr_B4_B9
3	iso1	BRC20263_GZ_B7_I9
4	iso1	CB4852_GZ_B7_B6
5	iso1	CB4852_GZr_B5_G3
6	iso1	CB4852_GZr_B5_G3
7	iso1	CB4856_GZ_B5_I9
8	iso1	CB4856_GZ_B6_C6
9	iso1	CB4856_GZ_B6_C6
10	iso1	CX11254_GZ_B8_D6
11	iso1	CX11254_GZ_B8_F7
12	iso1	CX11254_GZ_B8_F7
13	iso1	CX11262_GZ_B7_E3
14	iso1	CX11262_GZr_B5_G4
15	iso1	CX11262_GZr_B5_G4
16	iso1	CX11264_GZ_B7_E4
17	iso1	CX11264_GZr_B5_G5
18	iso1	CX11264_GZr_B5_G5
19	iso1	CX11271_GZ_B4_E6
20	iso1	CX11276_GZ_B6_F3
21	iso1	CX11276_GZr_B3_F6
22	iso1	CX11276_GZr_B3_F6
23	iso1	CX11285_GZr_B4_C1
24	iso1	CX11292_GZ_B7_E5
25	iso1	CX11292_GZr_B5_G6
26	iso1	CX11292_GZr_B5_G6
27	iso1	CX11307_GZ_B7_E6
28	iso1	CX11307_GZr_B5_D7
29	iso1	CX11307_GZr_B5_D7
30	iso1	CX11314_GZ_B6_A1
31	iso1	CX11314_GZ_B6_F4
32	iso1	CX11314_GZ_B6_F4
33	iso1	CX11315_GZ_B8_D7
34	iso1	CX11315_GZ_B8_F8
35	iso1	CX11315_GZ_B8_F8
36	iso1	DL200_GZ_B4_C2
37	iso1	DL226_GZ_B4_H3
38	iso1	DL238_GZ_B6_A2
39	iso1	DL238_GZ_B6_C8
40	iso1	DL238_GZ_B6_C8
41	iso1	ECA189_GZr_B7_I7
42	iso1	ECA248_GZ_B5_A9
43	iso1	ECA248_GZr_B3_A4
44	iso1	ECA248_GZr_B3_A4
45	iso1	ECA250_GZ_B7_E7
46	iso1	ECA250_GZr_B5_D8
47	iso1	ECA250_GZr_B5_D8
48	iso1	ECA251_GZ_B4_E7
49	iso1	ECA259_GZ_B7_G4
50	iso1	ECA259_GZr_B3_A5
51	iso1	ECA259_GZr_B3_A5
52	iso1	ECA348_GZr_B6_A3
53	iso1	ECA349_GZ_B4_H4
54	iso1	ECA349_GZr_B2_D1
55	iso1	ECA349_GZr_B2_D1
56	iso1	ECA363_GZ_B8_D8
57	iso1	ECA363_GZ_B8_F9
58	iso1	ECA363_GZ_B8_F9
59	iso1	ECA372_GZ_B8_G1
60	iso1	ECA372_GZr_B8_D9
61	iso1	ECA372_GZr_B8_D9
62	iso1	ECA592_GZ_B8_E1
63	iso1	ECA592_GZ_B8_G2
64	iso1	ECA592_GZ_B8_G2
65	iso1	ECA594_GZ_B8_E2
66	iso1	ECA594_GZ_B8_G3
67	iso1	ECA594_GZ_B8_G3
68	iso1	ECA703_GZ_B8_G4
69	iso1	ECA703_GZ_B8_I7
70	iso1	ECA703_GZ_B8_I7
71	iso1	ECA705_GZ_B8_E3
72	iso1	ECA705_GZ_B8_G5
73	iso1	ECA705_GZ_B8_G5
74	iso1	ECA710_GZ_B8_E4
75	iso1	ECA710_GZ_B8_G6
76	iso1	ECA710_GZ_B8_G6
77	iso1	ECA738_GZ_B8_E5
78	iso1	ECA743_GZ_B8_E6
79	iso1	ECA743_GZ_B8_G8
80	iso1	ECA743_GZ_B8_G8
81	iso1	ECA745_GZ_B8_G9
