trait	eQTL_classification	n_dis	both	eQTL_count	distant_both
C10G11.6b.1	Distant eQTL	1	single	2011	NA
C11D2.6o.1	Distant eQTL	1	single	2011	NA
C11D2.7.2	Distant eQTL	1	both	2011	NA
C11G6.4a.2	Distant eQTL	1	single	2011	NA
C11H1.7a.1	Distant eQTL	1	single	2011	NA
C12C8.1.1	Distant eQTL	4	single	42	NA
C12D5.7.2	Distant eQTL	1	single	2011	NA
C12D8.10c.1	Distant eQTL	1	single	2011	NA
C12D8.11.2	Distant eQTL	1	single	2011	NA
C13C12.2.1	Distant eQTL	1	single	2011	NA
C13F10.2.1	Distant eQTL	1	single	2011	NA
C14A11.6b.1	Distant eQTL	1	single	2011	NA
C14A4.14.1	Distant eQTL	1	single	2011	NA
C14A4.3.2	Distant eQTL	1	single	2011	NA
C14A4.9.1	Distant eQTL	1	single	2011	NA
C14B1.1.1	Distant eQTL	1	both	2011	NA
C14C10.3a.1	Distant eQTL	1	single	2011	NA
C14C10.4.2	Distant eQTL	1	single	2011	NA
C14C11.8b.1	Distant eQTL	2	single	353	NA
C14C6.8.1	Distant eQTL	1	single	2011	NA
C14F11.1.2	Distant eQTL	1	single	2011	NA
C14F11.5a.2	Distant eQTL	1	single	2011	NA
C14F11.6.1	Distant eQTL	2	single	353	NA
C14F5.1a.2	Distant eQTL	1	single	2011	NA
C14F5.3c.2	Distant eQTL	3	both	131	NA
C15F1.8.1	Distant eQTL	1	single	2011	NA
C15H7.3.2	Distant eQTL	1	single	2011	NA
C15H9.1.1	Distant eQTL	2	single	353	NA
C16A11.2a.2	Distant eQTL	1	single	2011	NA
C16A11.4a.2	Distant eQTL	1	single	2011	NA
C16A11.5d.1	Distant eQTL	1	both	2011	NA
C16A11.6.2	Distant eQTL	1	single	2011	NA
C16A11.9.1	Distant eQTL	1	single	2011	NA
C16A3.9.1	Distant eQTL	1	single	2011	NA
C16C2.4a.2	Distant eQTL	1	single	2011	NA
C16C4.4b.1	Distant eQTL	1	single	2011	NA
C16C4.6.1	Distant eQTL	1	single	2011	NA
C16C4.9	Distant eQTL	4	both	42	NA
C16C8.2.1	Distant eQTL	2	single	353	NA
C16C8.20.1	Distant eQTL	1	single	2011	NA
C16C8.22.1	Distant eQTL	1	single	2011	NA
C16C8.26.1	Distant eQTL	1	single	2011	NA
C16D6.2c.1	Distant eQTL	1	single	2011	NA
C16D9.6.1	Distant eQTL	1	single	2011	NA
C17C3.12b.1	Distant eQTL	1	both	2011	NA
C17C3.12c.2	Distant eQTL	1	both	2011	NA
C17C3.12e.1	Distant eQTL	2	both	353	NA
C17C3.15.1	Distant eQTL	1	single	2011	NA
C17C3.1a.1	Distant eQTL	3	both	131	NA
C17C3.5.1	Distant eQTL	1	single	2011	NA
C17D12.2b.1	Distant eQTL	1	single	2011	NA
C17D12.6a.1	Distant eQTL	1	single	2011	NA
C17F3.1.2	Distant eQTL	1	single	2011	NA
C17G1.2.2	Distant eQTL	1	single	2011	NA
C17G1.6a.1	Distant eQTL	1	single	2011	NA
C17G10.8.2	Distant eQTL	1	single	2011	NA
C17G10.9b.1	Distant eQTL	1	single	2011	NA
C17G10.9e.1	Distant eQTL	1	single	2011	NA
C17H1.7.1	Distant eQTL	3	single	131	NA
C17H11.6c.1	Distant eQTL	1	single	2011	NA
C18A3.1.2	Distant eQTL	1	single	2011	NA
C18B2.4.2	Distant eQTL	1	single	2011	NA
C18D4.6a.1	Distant eQTL	1	both	2011	NA
C18F3.2b.2	Distant eQTL	1	single	2011	NA
C18G1.3a.2	Distant eQTL	1	single	2011	NA
C18G1.5.1	Distant eQTL	1	single	2011	NA
C18G1.8.1	Distant eQTL	1	both	2011	NA
C18H2.2	Distant eQTL	1	single	2011	NA
C18H7.2a.1	Distant eQTL	1	single	2011	NA
C23F12.1u.1	Distant eQTL	1	both	2011	NA
C23F12.9.2	Distant eQTL	1	single	2011	NA
C23H3.1a.2	Distant eQTL	2	single	353	NA
C23H3.4a.1	Distant eQTL	3	both	131	NA
C23H3.5.2	Distant eQTL	1	single	2011	NA
C23H3.9a.1	Distant eQTL	2	single	353	NA
C23H3.9d.2	Distant eQTL	2	single	353	NA
C23H3.9e.1	Distant eQTL	1	single	2011	NA
C23H5.11a.1	Distant eQTL	1	single	2011	NA
C23H5.15.1	Distant eQTL	1	both	2011	NA
C24A8.1.1	Distant eQTL	3	single	131	NA
C24A8.4.2	Distant eQTL	1	both	2011	NA
C24B9.3.1	Distant eQTL	1	single	2011	NA
C24G6.4.1	Distant eQTL	1	single	2011	NA
C24G6.7.1	Distant eQTL	1	single	2011	NA
C24G7.2.1	Distant eQTL	2	single	353	NA
C24H10.4.1	Distant eQTL	2	single	353	NA
C24H11.2.1	Distant eQTL	1	both	2011	NA
C24H11.5a.1	Distant eQTL	1	single	2011	NA
C24H12.1.1	Distant eQTL	1	single	2011	NA
C24H12.11	Distant eQTL	1	both	2011	NA
C24H12.2	Distant eQTL	1	single	2011	NA
C25A6.1.1	Distant eQTL	1	both	2011	NA
C25B8.8.1	Distant eQTL	1	single	2011	NA
C25D7.4a.1	Distant eQTL	1	single	2011	NA
C25D7.8.1	Distant eQTL	1	single	2011	NA
C25F6.7a.1	Distant eQTL	2	single	353	NA
C25H3.14.1	Distant eQTL	1	single	2011	NA
C25H3.3.1	Distant eQTL	1	both	2011	NA
C25H3.6a.1	Distant eQTL	1	single	2011	NA
C25H3.6a.2	Distant eQTL	1	both	2011	NA
C26B2.7a.1	Distant eQTL	1	single	2011	NA
C26B9.1a.1	Distant eQTL	1	single	2011	NA
C26B9.2.1	Distant eQTL	1	single	2011	NA
C26C6.5b.1	Distant eQTL	1	single	2011	NA
C26D10.5a.2	Distant eQTL	1	single	2011	NA
C26E6.3.2	Distant eQTL	1	single	2011	NA
C26E6.5.1	Distant eQTL	1	single	2011	NA
C26E6.7a.1	Distant eQTL	1	single	2011	NA
C26E6.7b.1	Distant eQTL	1	single	2011	NA
C26E6.7c.1	Distant eQTL	1	single	2011	NA
C26E6.7d.1	Distant eQTL	1	single	2011	NA
C26F1.7b.1	Distant eQTL	1	single	2011	NA
C27A2.3.2	Distant eQTL	1	single	2011	NA
C27A7.5d.1	Distant eQTL	1	single	2011	NA
C27A7.6c.1	Distant eQTL	3	single	131	NA
C27A7.6d.1	Distant eQTL	2	single	353	NA
C27D8.4.1	Distant eQTL	1	both	2011	NA
C27H6.4b.2	Distant eQTL	1	single	2011	NA
C27H6.8.2	Distant eQTL	1	single	2011	NA
C28D4.5.1	Distant eQTL	3	single	131	NA
C28F5.1.1	Distant eQTL	2	single	353	NA
C28G1.5a.2	Distant eQTL	1	single	2011	NA
C28H8.4.2	Distant eQTL	1	single	2011	NA
C28H8.5b.1	Distant eQTL	1	single	2011	NA
C29E4.1.1	Distant eQTL	1	single	2011	NA
C29E6.1c.1	Distant eQTL	1	single	2011	NA
C29F3.1.1	Distant eQTL	1	single	2011	NA
C29F5.2	Distant eQTL	1	single	2011	NA
C29F9.1.1	Distant eQTL	1	single	2011	NA
C29H12.5.1	Distant eQTL	1	single	2011	NA
C30B5.7.1	Distant eQTL	1	single	2011	NA
C30C11.4.2	Distant eQTL	1	single	2011	NA
C30E1.4.1	Distant eQTL	1	single	2011	NA
C30F8.3.1	Distant eQTL	1	single	2011	NA
C30F8.4a.1	Distant eQTL	1	single	2011	NA
C30G12.2.1	Distant eQTL	1	single	2011	NA
C30G12.4.1	Distant eQTL	1	single	2011	NA
C30H6.1g.1	Distant eQTL	1	single	2011	NA
C30H6.3	Distant eQTL	1	single	2011	NA
C30H6.5b.1	Distant eQTL	1	single	2011	NA
C30H6.8.1	Distant eQTL	1	single	2011	NA
C32A3.2.1	Distant eQTL	1	both	2011	NA
C32B5.13.1	Distant eQTL	1	both	2011	NA
C32B5.1b.1	Distant eQTL	1	single	2011	NA
C32B5.6b.1	Distant eQTL	1	single	2011	NA
C32C4.1e.1	Distant eQTL	1	single	2011	NA
C32E8.10a.2	Distant eQTL	1	single	2011	NA
C32H11.13.1	Distant eQTL	1	both	2011	NA
C32H11.5.1	Distant eQTL	1	single	2011	NA
C33B4.3c.1	Distant eQTL	1	single	2011	NA
C33D9.2.1	Distant eQTL	1	single	2011	NA
C33D9.6a.1	Distant eQTL	1	single	2011	NA
C33D9.9	Distant eQTL	1	both	2011	NA
C33E10.1.1	Distant eQTL	1	single	2011	NA
C33E10.3	Distant eQTL	1	single	2011	NA
C33F10.13.1	Distant eQTL	3	single	131	NA
C33G8.3.1	Distant eQTL	1	single	2011	NA
C34B4.2a.1	Distant eQTL	1	single	2011	NA
C34C12.3.2	Distant eQTL	1	single	2011	NA
C34C6.10.1	Distant eQTL	1	single	2011	NA
C34D10.1.2	Distant eQTL	1	single	2011	NA
C34D4.14e.1	Distant eQTL	1	single	2011	NA
C34D4.15a.1	Distant eQTL	1	single	2011	NA
C34D4.3.2	Distant eQTL	1	both	2011	NA
C34E10.6.2	Distant eQTL	1	single	2011	NA
C34E10.8.2	Distant eQTL	1	single	2011	NA
C34E7.1a.2	Distant eQTL	1	single	2011	NA
C34F11.3a.1	Distant eQTL	1	single	2011	NA
C34F11.5.1	Distant eQTL	1	single	2011	NA
C34F11.9a.2	Distant eQTL	2	single	353	NA
C34F6.9.1	Distant eQTL	1	single	2011	NA
C34G6.6a.2	Distant eQTL	1	single	2011	NA
C35A5.2.1	Distant eQTL	1	single	2011	NA
C35A5.3.2	Distant eQTL	1	single	2011	NA
C35B1.1.2	Distant eQTL	1	single	2011	NA
C35B1.5.2	Distant eQTL	1	single	2011	NA
C35B1.8.1	Distant eQTL	2	both	353	NA
C35C5.10b.1	Distant eQTL	1	single	2011	NA
C35D10.5.2	Distant eQTL	1	single	2011	NA
C35E7.5b.1	Distant eQTL	1	both	2011	NA
C35E7.8.2	Distant eQTL	1	single	2011	NA
C36A4.1.1	Distant eQTL	1	single	2011	NA
C36A4.11.1	Distant eQTL	2	single	353	NA
C36A4.12	Distant eQTL	1	single	2011	NA
C36A4.6.1	Distant eQTL	1	single	2011	NA
C36B1.12a.2	Distant eQTL	1	single	2011	NA
C36B1.12b.1	Distant eQTL	1	single	2011	NA
C36B1.9.1	Distant eQTL	1	single	2011	NA
C36C9.3.1	Distant eQTL	2	single	353	NA
C37C3.6a.1	Distant eQTL	3	single	131	NA
C37E2.1.2	Distant eQTL	1	both	2011	NA
C37E2.4.1	Distant eQTL	1	single	2011	NA
C37E2.5d.1	Distant eQTL	1	single	2011	NA
C38C10.4.2	Distant eQTL	1	single	2011	NA
C38C3.8	Distant eQTL	1	single	2011	NA
C38C6.3.1	Distant eQTL	2	single	353	NA
C38C6.6.2	Distant eQTL	1	single	2011	NA
C38D4.10.1	Distant eQTL	1	single	2011	NA
C38D4.3.2	Distant eQTL	1	single	2011	NA
C38D9.2.1	Distant eQTL	4	both	42	NA
C39B10.3.1	Distant eQTL	1	single	2011	NA
C39B5.10.1	Distant eQTL	1	single	2011	NA
C39B5.2.2	Distant eQTL	1	both	2011	NA
C39B5.6.1	Distant eQTL	1	both	2011	NA
C39D10.3a.1	Distant eQTL	1	single	2011	NA
C39E6.6.1	Distant eQTL	1	single	2011	NA
C40A11.3.1	Distant eQTL	1	both	2011	NA
C40H5.4.1	Distant eQTL	1	single	2011	NA
C41C4.1.1	Distant eQTL	1	single	2011	NA
C41C4.5a.1	Distant eQTL	1	single	2011	NA
C41C4.6.2	Distant eQTL	1	single	2011	NA
C41D11.1a.2	Distant eQTL	1	both	2011	NA
C41D11.1c.1	Distant eQTL	1	single	2011	NA
C41D11.1e.1	Distant eQTL	2	both	353	NA
C41G11.3a.2	Distant eQTL	3	both	131	NA
C41H7.5a.1	Distant eQTL	2	both	353	NA
C41H7.5b.1	Distant eQTL	2	both	353	NA
C41H7.7.1	Distant eQTL	1	both	2011	NA
C42C1.11c.2	Distant eQTL	1	single	2011	NA
C42C1.4a.1	Distant eQTL	1	single	2011	NA
C42D4.13a.1	Distant eQTL	1	single	2011	NA
C42D4.18.1	Distant eQTL	1	single	2011	NA
C42D8.2.2	Distant eQTL	2	single	353	NA
C43E11.3a.1	Distant eQTL	1	single	2011	NA
C43G2.5a.1	Distant eQTL	1	single	2011	NA
C43H8.2.1	Distant eQTL	1	single	2011	NA
C44B11.6.1	Distant eQTL	2	both	353	NA
C44B7.10.2	Distant eQTL	2	single	353	NA
C44B7.2a.1	Distant eQTL	2	single	353	NA
C44C8.7.1	Distant eQTL	1	single	2011	NA
C44F1.3.1	Distant eQTL	1	single	2011	NA
C44H4.2.1	Distant eQTL	3	single	131	NA
C44H4.3.1	Distant eQTL	1	single	2011	NA
C44H4.4.1	Distant eQTL	1	single	2011	NA
C44H4.8.1	Distant eQTL	1	single	2011	NA
C45B2.8.1	Distant eQTL	2	single	353	NA
C45E5.2.1	Distant eQTL	1	single	2011	NA
C45G9.6a.2	Distant eQTL	3	single	131	NA
C45H4.14b.1	Distant eQTL	1	single	2011	NA
C46A5.3b.1	Distant eQTL	1	single	2011	NA
C46A5.8.1	Distant eQTL	1	single	2011	NA
C46C11.4.1	Distant eQTL	1	single	2011	NA
C46C2.3.1	Distant eQTL	1	single	2011	NA
C46C2.7.1	Distant eQTL	1	both	2011	NA
C46F11.2a.1	Distant eQTL	1	single	2011	NA
C46G7.4b.1	Distant eQTL	1	single	2011	NA
C46G7.4t.1	Distant eQTL	1	both	2011	NA
C46H11.8.1	Distant eQTL	1	single	2011	NA
C47A4.3.1	Distant eQTL	1	single	2011	NA
C47A4.5.1	Distant eQTL	1	single	2011	NA
C47C12.3a.1	Distant eQTL	1	single	2011	NA
C47C12.4	Distant eQTL	1	single	2011	NA
C47D12.1c.1	Distant eQTL	1	single	2011	NA
C47D12.3b.2	Distant eQTL	1	single	2011	NA
C47E12.6.1	Distant eQTL	2	single	353	NA
C47E8.7.2	Distant eQTL	1	both	2011	NA
C47E8.8d.1	Distant eQTL	1	both	2011	NA
C47G2.3.1	Distant eQTL	1	single	2011	NA
C48A7.2a.1	Distant eQTL	1	single	2011	NA
C48B4.4d.1	Distant eQTL	3	single	131	NA
C48B4.7.1	Distant eQTL	1	single	2011	NA
C48B6.6a.2	Distant eQTL	1	single	2011	NA
C48D1.3.2	Distant eQTL	2	single	353	NA
C48D1.7	Distant eQTL	4	single	42	NA
C48E7.2.2	Distant eQTL	1	single	2011	NA
C49C3.8a.1	Distant eQTL	1	single	2011	NA
C49F5.2.1	Distant eQTL	1	single	2011	NA
C49G7.11.1	Distant eQTL	2	both	353	NA
C49G7.13.1	Distant eQTL	1	both	2011	NA
C49G7.4.1	Distant eQTL	1	both	2011	NA
C49G7.7.2	Distant eQTL	1	both	2011	NA
C49G7.8.1	Distant eQTL	1	both	2011	NA
C50B6.9.2	Distant eQTL	1	single	2011	NA
C50D2.1a.1	Distant eQTL	2	single	353	NA
C50D2.8b.1	Distant eQTL	1	single	2011	NA
C50E10.2c.1	Distant eQTL	1	both	2011	NA
C50E10.4c.1	Distant eQTL	1	single	2011	NA
C50E3.12.2	Distant eQTL	2	single	353	NA
C50F2.6a.2	Distant eQTL	1	single	2011	NA
C50F2.9.1	Distant eQTL	1	single	2011	NA
C50F4.1.2	Distant eQTL	1	single	2011	NA
C50F4.13.2	Distant eQTL	1	single	2011	NA
C50F7.1b.2	Distant eQTL	1	single	2011	NA
C52A10.2.1	Distant eQTL	1	single	2011	NA
C52B11.3.1	Distant eQTL	1	both	2011	NA
C52B9.19.1	Distant eQTL	1	single	2011	NA
C52E12.4.1	Distant eQTL	1	single	2011	NA
C52E12.4.2	Distant eQTL	2	single	353	NA
C53B4.8.1	Distant eQTL	1	single	2011	NA
C53B7.5.1	Distant eQTL	1	single	2011	NA
C53D5.1a.2	Distant eQTL	1	single	2011	NA
C54C6.2.1	Distant eQTL	2	single	353	NA
C54D10.13.1	Distant eQTL	1	single	2011	NA
C54D10.14a.1	Distant eQTL	1	single	2011	NA
C54D10.14b.1	Distant eQTL	1	both	2011	NA
C54E10.1	Distant eQTL	2	both	353	NA
