trait	eQTL_classification	n_dis	both	eQTL_count	distant_both
2L52.1a.1	Distant eQTL	1	single	2011	319/2011
2RSSE.1a.1	Distant eQTL	1	single	2011	NA
3R5.1a.1	Distant eQTL	2	single	353	79/353
AC3.12.1	Distant eQTL	1	single	2011	NA
AC3.3.1	Distant eQTL	1	single	2011	NA
AC3.4.1	Distant eQTL	1	single	2011	NA
AC8.10.1	Distant eQTL	1	both	2011	NA
AC8.11.1	Distant eQTL	1	both	2011	NA
AC8.12	Distant eQTL	1	single	2011	NA
AC8.7	Distant eQTL	1	single	2011	NA
AH9.2.1	Distant eQTL	1	single	2011	NA
B0001.1a.2	Distant eQTL	1	single	2011	NA
B0001.3b.2	Distant eQTL	1	single	2011	NA
B0001.6.2	Distant eQTL	2	both	353	NA
B0019.2.1	Distant eQTL	1	single	2011	NA
B0025.1a.1	Distant eQTL	1	single	2011	NA
B0025.1c.1	Distant eQTL	1	single	2011	NA
B0035.10.1	Distant eQTL	3	single	131	27/131
B0035.12.2	Distant eQTL	1	single	2011	NA
B0035.15.1	Distant eQTL	1	single	2011	NA
B0035.3.1	Distant eQTL	1	single	2011	NA
B0035.9.1	Distant eQTL	2	single	353	NA
B0041.7.1	Distant eQTL	1	single	2011	NA
B0047.4.1	Distant eQTL	1	single	2011	NA
B0205.11.2	Distant eQTL	1	single	2011	NA
B0205.13.1	Distant eQTL	2	single	353	NA
B0205.14.1	Distant eQTL	3	single	131	NA
B0205.3.2	Distant eQTL	1	single	2011	NA
B0205.8.1	Distant eQTL	1	single	2011	NA
B0207.5b.1	Distant eQTL	1	single	2011	NA
B0212.5.1	Distant eQTL	1	single	2011	NA
B0213.15a.1	Distant eQTL	1	single	2011	NA
B0213.5.1	Distant eQTL	2	single	353	NA
B0222.3.2	Distant eQTL	1	single	2011	NA
B0222.8.2	Distant eQTL	1	single	2011	NA
B0238.15.1	Distant eQTL	2	single	353	NA
B0250.3	Distant eQTL	4	both	42	14/42
B0273.2.1	Distant eQTL	1	single	2011	NA
B0273.3.1	Distant eQTL	1	single	2011	NA
B0280.2.1	Distant eQTL	3	single	131	NA
B0280.7.1	Distant eQTL	3	single	131	NA
B0285.7.1	Distant eQTL	1	single	2011	NA
B0294.3.1	Distant eQTL	1	both	2011	NA
B0304.6.1	Distant eQTL	1	single	2011	NA
B0331.1.1	Distant eQTL	2	single	353	NA
B0334.11b.2	Distant eQTL	1	single	2011	NA
B0334.9	Distant eQTL	1	single	2011	NA
B0336.1a.2	Distant eQTL	1	single	2011	NA
B0344.1	Distant eQTL	1	single	2011	NA
B0344.2.1	Distant eQTL	1	single	2011	NA
B0344.2.2	Distant eQTL	2	single	353	NA
B0348.2a.1	Distant eQTL	1	single	2011	NA
B0348.5a.1	Distant eQTL	1	single	2011	NA
B0348.6c.1	Distant eQTL	1	single	2011	NA
B0361.5a.2	Distant eQTL	1	single	2011	NA
B0365.6.1	Distant eQTL	1	both	2011	NA
B0379.7.1	Distant eQTL	1	single	2011	NA
B0391.10	Distant eQTL	1	single	2011	NA
B0391.8	Distant eQTL	1	both	2011	NA
B0393.5.1	Distant eQTL	2	single	353	NA
B0399.1b.2	Distant eQTL	1	single	2011	NA
B0403.5.1	Distant eQTL	1	single	2011	NA
B0416.1a.1	Distant eQTL	1	single	2011	NA
B0416.4.1	Distant eQTL	1	single	2011	NA
B0432.13.1	Distant eQTL	2	single	353	NA
B0462.3.1	Distant eQTL	2	single	353	NA
B0491.2.1	Distant eQTL	1	single	2011	NA
B0491.8b.1	Distant eQTL	1	single	2011	NA
B0495.9.2	Distant eQTL	1	single	2011	NA
B0496.3a.1	Distant eQTL	1	single	2011	NA
B0507.1.1	Distant eQTL	1	single	2011	NA
B0507.3a.2	Distant eQTL	1	single	2011	NA
B0507.8.1	Distant eQTL	1	single	2011	NA
B0511.10.1	Distant eQTL	1	single	2011	NA
B0511.5.1	Distant eQTL	1	single	2011	NA
B0523.3.2	Distant eQTL	1	single	2011	NA
B0523.5.1	Distant eQTL	1	single	2011	NA
B0546.4a.1	Distant eQTL	1	single	2011	NA
B0564.10a.1	Distant eQTL	3	single	131	NA
BE0003N10.6c.1	Distant eQTL	1	single	2011	NA
C01A2.3.2	Distant eQTL	2	single	353	NA
C01B10.8.2	Distant eQTL	1	single	2011	NA
C01B4.8a.1	Distant eQTL	1	single	2011	NA
C01B9.1b.1	Distant eQTL	1	both	2011	NA
C01C4.1.2	Distant eQTL	1	single	2011	NA
C01G10.10a.1	Distant eQTL	1	single	2011	NA
C01G12.1.2	Distant eQTL	2	both	353	NA
C01G12.12	Distant eQTL	1	both	2011	NA
C01G12.7.1	Distant eQTL	1	both	2011	NA
C01G5.2	Distant eQTL	1	single	2011	NA
C01G8.1b.1	Distant eQTL	1	single	2011	NA
C01G8.2.2	Distant eQTL	1	single	2011	NA
C01H6.5b.2	Distant eQTL	1	single	2011	NA
C01H6.5c.1	Distant eQTL	1	single	2011	NA
C01H6.9.2	Distant eQTL	1	single	2011	NA
C02A12.1.1	Distant eQTL	1	single	2011	NA
C02B10.4.2	Distant eQTL	1	single	2011	NA
C02B8.3.2	Distant eQTL	1	single	2011	NA
C02B8.5.1	Distant eQTL	2	single	353	NA
C02D4.1.1	Distant eQTL	1	single	2011	NA
C02D5.1.2	Distant eQTL	1	single	2011	NA
C03B1.12.2	Distant eQTL	1	single	2011	NA
C03B1.14.2	Distant eQTL	1	single	2011	NA
C03D6.4.2	Distant eQTL	2	single	353	NA
C03E10.5.1	Distant eQTL	1	single	2011	NA
C03G5.10.1	Distant eQTL	1	single	2011	NA
C03G5.12.1	Distant eQTL	1	single	2011	NA
C03G5.13.1	Distant eQTL	1	both	2011	NA
C03G5.9.1	Distant eQTL	2	both	353	NA
C03G6.14.1	Distant eQTL	1	single	2011	NA
C03G6.15.1	Distant eQTL	1	single	2011	NA
C03G6.19.2	Distant eQTL	1	single	2011	NA
C04A11.1a.1	Distant eQTL	1	single	2011	NA
C04C11.25.1	Distant eQTL	1	single	2011	NA
C04C3.3.2	Distant eQTL	1	single	2011	NA
C04C3.5c.1	Distant eQTL	1	single	2011	NA
C04C3.7.1	Distant eQTL	1	both	2011	NA
C04D8.1e.1	Distant eQTL	1	single	2011	NA
C04E12.2.2	Distant eQTL	1	single	2011	NA
C04F12.4.1	Distant eQTL	1	single	2011	NA
C04F12.9.2	Distant eQTL	2	single	353	NA
C04F5.1.1	Distant eQTL	1	single	2011	NA
C04F5.7.1	Distant eQTL	1	single	2011	NA
C04G2.10a.1	Distant eQTL	1	single	2011	NA
C04G2.4.1	Distant eQTL	1	both	2011	NA
C04G2.5.1	Distant eQTL	1	single	2011	NA
C04G6.6.1	Distant eQTL	1	single	2011	NA
C04H5.3.1	Distant eQTL	1	single	2011	NA
C05B5.5a.1	Distant eQTL	2	single	353	NA
C05B5.8.1	Distant eQTL	1	single	2011	NA
C05C10.2c.2	Distant eQTL	1	single	2011	NA
C05C8.9b.2	Distant eQTL	1	single	2011	NA
C05C9.1.1	Distant eQTL	4	single	42	NA
C05D11.11a.2	Distant eQTL	1	single	2011	NA
C05D11.6a.1	Distant eQTL	1	single	2011	NA
C05D12.5.1	Distant eQTL	1	single	2011	NA
C05D2.6b.1	Distant eQTL	1	single	2011	NA
C05D9.5.1	Distant eQTL	1	single	2011	NA
C05D9.9a.1	Distant eQTL	1	single	2011	NA
C05E11.1b.1	Distant eQTL	1	single	2011	NA
C05E11.3b.1	Distant eQTL	3	single	131	NA
C06A5.8a.1	Distant eQTL	1	single	2011	NA
C06B8.7.2	Distant eQTL	3	single	131	NA
C06C3.4.1	Distant eQTL	2	single	353	NA
C06C3.6.1	Distant eQTL	1	both	2011	NA
C06C3.7.1	Distant eQTL	1	single	2011	NA
C06C3.8c.1	Distant eQTL	1	single	2011	NA
C06C3.9	Distant eQTL	1	single	2011	NA
C06C6.6	Distant eQTL	1	single	2011	NA
C06E4.3.1	Distant eQTL	1	single	2011	NA
C06E4.8.1	Distant eQTL	1	single	2011	NA
C06E7.4a.2	Distant eQTL	2	single	353	NA
C06G1.1a.1	Distant eQTL	1	single	2011	NA
C06G1.2.1	Distant eQTL	1	single	2011	NA
C06G3.5a.1	Distant eQTL	1	single	2011	NA
C06G3.7b.1	Distant eQTL	4	single	42	NA
C06G3.8a.1	Distant eQTL	2	single	353	NA
C06G4.5.1	Distant eQTL	1	single	2011	NA
C06G4.6.1	Distant eQTL	1	single	2011	NA
C06H2.3a.1	Distant eQTL	1	both	2011	NA
C06H2.5a.1	Distant eQTL	3	single	131	NA
C06H5.1.1	Distant eQTL	2	single	353	NA
C07A12.7a.1	Distant eQTL	1	single	2011	NA
C07A9.3a.1	Distant eQTL	1	single	2011	NA
C07A9.3c.1	Distant eQTL	1	both	2011	NA
C07A9.7a.1	Distant eQTL	1	single	2011	NA
C07A9.7b.1	Distant eQTL	1	single	2011	NA
C07D10.4.1	Distant eQTL	1	single	2011	NA
C07D8.2	Distant eQTL	1	single	2011	NA
C07D8.6.2	Distant eQTL	1	single	2011	NA
C07E3.10.1	Distant eQTL	1	single	2011	NA
C07G1.7.1	Distant eQTL	1	single	2011	NA
C07G2.2d.1	Distant eQTL	1	single	2011	NA
C07H6.2.1	Distant eQTL	2	single	353	NA
C07H6.3.1	Distant eQTL	1	single	2011	NA
C07H6.7.1	Distant eQTL	1	single	2011	NA
C08A9.10.2	Distant eQTL	2	single	353	NA
C08B6.3a.1	Distant eQTL	1	single	2011	NA
C08B6.4a.1	Distant eQTL	1	single	2011	NA
C08B6.6.1	Distant eQTL	1	single	2011	NA
C08E3.11	Distant eQTL	4	both	42	NA
C08E3.12.1	Distant eQTL	3	both	131	NA
C08E8.4.1	Distant eQTL	3	single	131	NA
C08F1.1	Distant eQTL	2	both	353	NA
C08F1.10.1	Distant eQTL	1	single	2011	NA
C08F1.4a.1	Distant eQTL	1	single	2011	NA
C08F11.14	Distant eQTL	1	single	2011	NA
C08F11.7.1	Distant eQTL	1	single	2011	NA
C08F11.8.2	Distant eQTL	1	single	2011	NA
C08F8.15.1	Distant eQTL	1	single	2011	NA
C08F8.2b.1	Distant eQTL	1	single	2011	NA
C08F8.4c.1	Distant eQTL	1	single	2011	NA
C08F8.8.1	Distant eQTL	1	single	2011	NA
C08G5.3b	Distant eQTL	1	both	2011	NA
C08G5.4b.1	Distant eQTL	1	single	2011	NA
C09B8.3.1	Distant eQTL	2	single	353	NA
C09D4.4b.1	Distant eQTL	1	single	2011	NA
C09D8.1b.2	Distant eQTL	1	single	2011	NA
C09E7.11.1	Distant eQTL	1	single	2011	NA
C09E8.2a.1	Distant eQTL	1	single	2011	NA
C09E8.3.1	Distant eQTL	3	single	131	NA
C09E9.1d.1	Distant eQTL	2	single	353	NA
C09F12.2.1	Distant eQTL	1	single	2011	NA
C09F9.2.2	Distant eQTL	1	single	2011	NA
C09G12.8b.1	Distant eQTL	1	single	2011	NA
C09G12.9.2	Distant eQTL	1	single	2011	NA
C09G4.2c.2	Distant eQTL	1	single	2011	NA
C09G5.3.1	Distant eQTL	1	single	2011	NA
C09G5.6.1	Distant eQTL	1	single	2011	NA
C09G5.6.2	Distant eQTL	1	single	2011	NA
C09G9.1c.1	Distant eQTL	2	single	353	NA
C09G9.7a.1	Distant eQTL	1	single	2011	NA
C10A4.3.1	Distant eQTL	1	single	2011	NA
C10C5.2.2	Distant eQTL	1	single	2011	NA
C10C6.1b.1	Distant eQTL	1	single	2011	NA
C10C6.7b.1	Distant eQTL	1	single	2011	NA
C10C6.9	Distant eQTL	1	single	2011	NA
C10E2.5.1	Distant eQTL	1	single	2011	NA
C10E2.5.2	Distant eQTL	1	single	2011	NA
C10F3.6.2	Distant eQTL	1	single	2011	NA
C10G11.5a.2	Distant eQTL	1	single	2011	NA
