strain,isotype,longitude,latitude
NIC259,NIC259,-9.14875,38.71829
NIC260,NIC260,-9.14875,38.71829
NIC261,NIC261,-9.14875,38.71829
NIC265,NIC265,-9.14875,38.71829
NIC266,NIC266,-9.31592,38.69237
NIC267,NIC267,-9.31592,38.69237
NIC268,NIC268,-9.31592,38.69237
NIC271,NIC271,-9.31592,38.69237
NIC274,NIC274,-8.756356,39.769459
NIC275,NIC275,-8.756356,39.769459
NIC276,NIC276,-8.756356,39.769459
NIC277,NIC277,7.266138,43.716441
NIC3,NIC3,5.3215,43.3636
NIC501,NIC501,2.2675,48.77302
NIC511,NIC511,14.2623855,40.8625
NIC513,NIC513,-9.167136,38.776038
NIC514,NIC514,-9.167136,38.776038
NIC515,NIC515,-9.165884,38.776775
NIC523,NIC523,-6.29831,36.535679
NIC526,NIC526,-6.304441,36.535679
NIC527,NIC527,-6.304441,36.535679
NIC528,NIC528,-6.29831,36.535679
NIC529,NIC529,-4.784967,37.870754
PS2025,PS2025,-118.13,34.19
PX179,PX179,-123.058,44.035
QG2075,QG2075,-83.376,33.951
QG556,QG556,-119.702021,34.421629
QW947,QW947,-70.6106,-33.4213
QX1212,QX1212,-122.4331,37.7502
QX1233,QX1233,-122.2838,37.8804
QX1791,QX1791,-156.3935,20.6344
QX1792,QX1792,-156.35475,20.70554
QX1793,QX1793,-156.35678,20.70559
QX1794,QX1794,-156.35678,20.70559
RC301,RC301,7.84,47.99
WN2050,WN2050,5.717,51.975
XZ1513,XZ1513,-159.63105,22.14787
XZ1515,XZ1515,-159.668,22.149
XZ1516,XZ1516,-159.668,22.149
