strain,isotype,longitude,latitude
AB1,AB1,138.59,-34.93
BRC20067,BRC20067,121.169736,24.072954
BRC20263,BRC20263,151.2069889,-33.86748611
CB4852,CB4852,NA,NA
CB4856,CB4856,-157.86,21.33
CX11254,CX11254,-118.114835,34.130138
CX11262,CX11262,-118.114835,34.130138
CX11264,CX11264,-118.114835,34.130138
CX11271,CX11271,-118.12532,34.13712
CX11276,CX11276,-118.21198,34.20111
CX11285,CX11285,-118.05496,34.14331
CX11292,CX11292,-118.30582,34.13531
CX11307,CX11307,-118.10987,34.12946
CX11314,CX11314,-118.10987,34.12946
CX11315,CX11315,-118.10987,34.12946
DL200,DL200,38.74,9.03
DL226,DL226,-123.2821,44.5633
DL238,DL238,-155.81,19.11
ECA189,ECA189,-155.2225,19.423889
ECA248,CB4855,-122.14,37.44
ECA250,CB4857,-117.719,34.096
ECA251,CB4858,-118.1,34.1
ECA259,PB306,NA,NA
ECA348,ECA348,-122.253889,37.775334
ECA349,ECA349,-117.236741,32.765758
ECA363,ECA363,-156.304444,20.723611
ECA372,ECA372,-159.664444,22.121667
ECA592,ECA592,-119.640915,34.417128
ECA594,ECA594,-119.640673,34.417532
ECA703,ECA703,-155.438922,20.038831
ECA705,ECA705,-155.438922,20.038831
ECA710,ECA710,-155.438103,20.039656
ECA738,ECA738,-156.9740559,21.13927631
ECA743,ECA743,-156.32317,20.741871
ECA745,ECA745,-155.955839,19.700464
ECA777,ECA777,-155.441503,20.039908
ECA812,ECA812,-155.441542,20.039917
ECA923,ECA923,-157.707918,21.290067
ED3005,ED3005,-3.36,55.94
ED3012,ED3012,-3.19,55.92
ED3017,ED3017,-3.19,55.92
ED3040,ED3040,28.016667,-26.166667
ED3048,ED3048,19.316667,-33.366667
ED3049,ED3049,19.316667,-33.366667
ED3052,ED3052,19.316667,-33.366667
ED3073,ED3073,36.65,-1.083333
ED3077,ED3077,36.8,-1.316667
EG4347,EG4347,-123.07108,44.04789
EG4724,EG4724,-8.3476,41.6288
EG4946,EG4946,-111.82184,40.72596
GXW1,GXW1,114.419828,30.542889
JT11398,JT11398,-122.275484,47.763944
JU1088,JU1088,138.0149,34.7613
JU1172,JU1172,-73.04,-36.87
JU1200,JU1200,-4.6,55.577
JU1212,JU1212,-3.81,48.71
JU1213,JU1213,-3.81,48.71
JU1242,JU1242,1.9595,49.1269
JU1246,JU1246,1.96152,49.12618
JU1395,JU1395,0.04619,47.2199
JU1409,JU1409,-5.637,37.468
JU1440,JU1440,2.15231,41.41307
JU1491,JU1491,1.06,46.63
JU1530,JU1530,2.1725,48.7015
JU1543,JU1543,2.1725,48.7015
JU1568,JU1568,2.3862,48.8092
JU1581,JU1581,2.1725,48.7015
JU1586,JU1586,1.06,46.63
JU1652,JU1652,-56.19,-34.86
JU1666,JU1666,-3.7941,48.7049
JU1792,JU1792,1.064289,46.63278
JU1793,JU1793,1.95114,49.12604
JU1808,JU1808,2.395372,48.81257
JU1896,JU1896,23.749673,37.999722
JU1934,JU1934,1.95114,49.12604
JU2001,JU2001,55.5,-21.1
JU2007,JU2007,-1.32413,50.7608
JU2016,JU2016,-122.463177,37.757593
JU2017,JU2017,-122.463177,37.757593
JU2106,JU2106,0.24,43.06
JU2131,JU2131,-4.705,48.0497
JU2141,JU2141,1.0512,46.6293
JU2234,JU2234,-1.583,47.227
JU2250,JU2250,-1.891389,48.285278
JU2257,JU2257,1.1,46.6
JU2464,JU2464,-72.525,-13.155
JU2466,JU2466,-72.266,-13.257
JU2478,JU2478,4.351,50.85
JU2513,JU2513,22.0736,38.26016
JU2519,JU2519,-9.1486,38.7175
JU2522,JU2522,-9.1486,38.7175
JU2526,JU2526,-9.1486,38.7175
JU2534,JU2534,0.097087,49.357921
JU2565,JU2565,1.066213,44.958394
JU2566,JU2566,2.44599,48.83886
JU2570,JU2570,-0.2685,46.2657
JU2572,JU2572,2.395372,48.81257
JU2575,JU2575,3.0707,49.0857
JU2576,JU2576,3.072,49.0861
JU2578,JU2578,2.4315,48.87613
JU2581,JU2581,1.1,46.6
JU2586,JU2586,2.159,48.897
JU2592,JU2592,-2.403836,48.628558
JU2600,JU2600,1.9496,49.1242
JU2610,JU2610,1.7915,49.1075
JU2619,JU2619,-117.275428,32.998352
JU2811,JU2811,151.219453,-33.8632
JU2838,JU2838,-97.98832,20.205961
JU2841,JU2841,176,-40
JU2853,JU2853,-7.545,41.19
JU2862,JU2862,0.1264,52.1944
JU2866,JU2866,-118.4409,34.0751
JU2879,JU2879,-99.098769,19.29732
JU2906,JU2906,11.2806,43.8023
JU2907,JU2907,11.2906,43.8021
JU310,JU310,1.06,46.63
JU311,JU311,4.4,44.42
JU3128,JU3128,15.2763,37.076
JU3132,JU3132,2.1725,48.7015
JU3134,JU3134,2.1725,48.7015
JU3140,JU3140,-3.81,48.71
JU3144,JU3144,10.52,6.18
JU323,JU323,4.4,44.42
JU346,JU346,4.4,44.42
JU360,JU360,2.23,48.98
JU367,JU367,2.23,48.98
JU394,JU394,-0.32,49.28
JU397,JU397,-0.32,49.28
JU406,JU406,-0.32,49.28
JU440,JU440,1.56,48.715
JU642,JU642,2.5,48.84
JU774,JU774,-9.34,38.683
JU775,JU775,-9.1486,38.7175
JU778,JU778,-9.1491,38.719
JU782,JU782,-9.1503,38.7191
JU792,JU792,0.24,43.06
JU830,JU830,9.05,48.52
JU847,JU847,7.461,48.46
KR314,KR314,-123.13,49.28
LKC34,LKC34,46,-18
MY1,MY1,7.31,52.54
MY10,MY10,7.53,51.96
MY16,MY16,7.57,51.93
MY18,MY18,7.53,51.96
MY2147,MY2147,10.117737,54.346355
MY2212,MY2212,10.117737,54.346355
MY23,MY23,7.53,51.96
MY2573,MY2573,7.599099,51.950723
MY2585,MY2585,10.117737,54.346355
MY2713,MY2713,10.11505,54.3491
MY518,MY518,7.611719,51.964154
MY772,MY772,10.117737,54.346355
MY795,MY795,10.117737,54.346355
MY920,MY920,10.117737,54.346355
N2,N2,-2.59,51.45
NIC1,NIC1,5.3543,43.279
NIC166,NIC166,6.89775,46.72722
NIC199,NIC199,-25.19929,37.745428
NIC2,NIC2,5.3543,43.279
NIC207,NIC207,7.24045,43.720505
NIC231,NIC231,7.24045,43.720505
NIC236,NIC236,-9.313417,39.242006
NIC242,NIC242,-9.31609,38.691765
NIC251,NIC251,-28.151364,38.66621
NIC252,NIC252,-28.147949,38.661313
NIC255,NIC255,7.266779,43.714834
NIC256,NIC256,-9.14875,38.71829
NIC258,NIC258,-9.14875,38.71829
