condition	id	seq_pool	samplename	sample	filepath
CB4852	GZr_B5_G3	GZpool_08_2020	CB4852_GZr_B5_G3_GZpool_08_2020	kallisto_CB4852_GZr_B5_G3_GZpool_08_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CB4856	GZ_B5_I9	GZpool_04_2019	CB4856_GZ_B5_I9_GZpool_04_2019	kallisto_CB4856_GZ_B5_I9_GZpool_04_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CB4856	GZ_B6_C6	GZpool_06_2019	CB4856_GZ_B6_C6_GZpool_06_2019	kallisto_CB4856_GZ_B6_C6_GZpool_06_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CB4856	GZ_B1_H3	GZpool_07_2020	CB4856_GZ_B1_H3_GZpool_07_2020	kallisto_CB4856_GZ_B1_H3_GZpool_07_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11254	GZ_B8_B1	GZpool_03_2019	CX11254_GZ_B8_B1_GZpool_03_2019	kallisto_CX11254_GZ_B8_B1_GZpool_03_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11254	GZ_B8_D6	GZpool_04_2019	CX11254_GZ_B8_D6_GZpool_04_2019	kallisto_CX11254_GZ_B8_D6_GZpool_04_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11254	GZ_B8_F7	GZpool_06_2019	CX11254_GZ_B8_F7_GZpool_06_2019	kallisto_CX11254_GZ_B8_F7_GZpool_06_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11262	GZ_B6_I1	GZpool_04_2019	CX11262_GZ_B6_I1_GZpool_04_2019	kallisto_CX11262_GZ_B6_I1_GZpool_04_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11262	GZ_B7_E3	GZpool_06_2019	CX11262_GZ_B7_E3_GZpool_06_2019	kallisto_CX11262_GZ_B7_E3_GZpool_06_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11262	GZr_B5_G4	GZpool_08_2020	CX11262_GZr_B5_G4_GZpool_08_2020	kallisto_CX11262_GZr_B5_G4_GZpool_08_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11264	GZ_B7_B7	GZpool_04_2019	CX11264_GZ_B7_B7_GZpool_04_2019	kallisto_CX11264_GZ_B7_B7_GZpool_04_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11264	GZ_B7_E4	GZpool_06_2019	CX11264_GZ_B7_E4_GZpool_06_2019	kallisto_CX11264_GZ_B7_E4_GZpool_06_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11264	GZr_B5_G5	GZpool_08_2020	CX11264_GZr_B5_G5_GZpool_08_2020	kallisto_CX11264_GZr_B5_G5_GZpool_08_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11271	GZ_B1_B2	GZpool_01_2019	CX11271_GZ_B1_B2_GZpool_01_2019	kallisto_CX11271_GZ_B1_B2_GZpool_01_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11271	GZ_B4_E6	GZpool_05_2019	CX11271_GZ_B4_E6_GZpool_05_2019	kallisto_CX11271_GZ_B4_E6_GZpool_05_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11271	GZm_B3_I3	GZpool_0307_2020	CX11271_GZm_B3_I3_GZpool_0307_2020	kallisto_CX11271_GZm_B3_I3_GZpool_0307_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11276	GZ_B6_C7	GZpool_04_2019	CX11276_GZ_B6_C7_GZpool_04_2019	kallisto_CX11276_GZ_B6_C7_GZpool_04_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11276	GZ_B6_F3	GZpool_06_2019	CX11276_GZ_B6_F3_GZpool_06_2019	kallisto_CX11276_GZ_B6_F3_GZpool_06_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11276	GZr_B3_F6	GZpool_07_2020	CX11276_GZr_B3_F6_GZpool_07_2020	kallisto_CX11276_GZr_B3_F6_GZpool_07_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11285	GZ_B3_I4	GZpool_03_2019	CX11285_GZ_B3_I4_GZpool_03_2019	kallisto_CX11285_GZ_B3_I4_GZpool_03_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11285	GZr_B4_C1	GZpool_07_2020	CX11285_GZr_B4_C1_GZpool_07_2020	kallisto_CX11285_GZr_B4_C1_GZpool_07_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11285	GZm_B1_B3	GZpool_0108_2020	CX11285_GZm_B1_B3_GZpool_0108_2020	kallisto_CX11285_GZm_B1_B3_GZpool_0108_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11292	GZ_B7_B8	GZpool_04_2019	CX11292_GZ_B7_B8_GZpool_04_2019	kallisto_CX11292_GZ_B7_B8_GZpool_04_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11292	GZ_B7_E5	GZpool_06_2019	CX11292_GZ_B7_E5_GZpool_06_2019	kallisto_CX11292_GZ_B7_E5_GZpool_06_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11292	GZr_B5_G6	GZpool_08_2020	CX11292_GZr_B5_G6_GZpool_08_2020	kallisto_CX11292_GZr_B5_G6_GZpool_08_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11307	GZ_B7_B9	GZpool_04_2019	CX11307_GZ_B7_B9_GZpool_04_2019	kallisto_CX11307_GZ_B7_B9_GZpool_04_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11307	GZ_B7_E6	GZpool_06_2019	CX11307_GZ_B7_E6_GZpool_06_2019	kallisto_CX11307_GZ_B7_E6_GZpool_06_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11307	GZr_B5_D7	GZpool_08_2020	CX11307_GZr_B5_D7_GZpool_08_2020	kallisto_CX11307_GZr_B5_D7_GZpool_08_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11314	GZ_B1_H4	GZpool_01_2019	CX11314_GZ_B1_H4_GZpool_01_2019	kallisto_CX11314_GZ_B1_H4_GZpool_01_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11314	GZ_B6_A1	GZpool_04_2019	CX11314_GZ_B6_A1_GZpool_04_2019	kallisto_CX11314_GZ_B6_A1_GZpool_04_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11314	GZ_B6_F4	GZpool_06_2019	CX11314_GZ_B6_F4_GZpool_06_2019	kallisto_CX11314_GZ_B6_F4_GZpool_06_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11315	GZ_B8_B2	GZpool_03_2019	CX11315_GZ_B8_B2_GZpool_03_2019	kallisto_CX11315_GZ_B8_B2_GZpool_03_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11315	GZ_B8_D7	GZpool_04_2019	CX11315_GZ_B8_D7_GZpool_04_2019	kallisto_CX11315_GZ_B8_D7_GZpool_04_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CX11315	GZ_B8_F8	GZpool_06_2019	CX11315_GZ_B8_F8_GZpool_06_2019	kallisto_CX11315_GZ_B8_F8_GZpool_06_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
DL200	GZ_B1_B4	GZpool_01_2019	DL200_GZ_B1_B4_GZpool_01_2019	kallisto_DL200_GZ_B1_B4_GZpool_01_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
DL200	GZ_B3_F7	GZpool_03_2019	DL200_GZ_B3_F7_GZpool_03_2019	kallisto_DL200_GZ_B3_F7_GZpool_03_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
DL200	GZ_B4_C2	GZpool_05_2019	DL200_GZ_B4_C2_GZpool_05_2019	kallisto_DL200_GZ_B4_C2_GZpool_05_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
DL226	GZ_B4_C3	GZpool_04_2019	DL226_GZ_B4_C3_GZpool_04_2019	kallisto_DL226_GZ_B4_C3_GZpool_04_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
DL226	GZ_B4_H3	GZpool_07_2020	DL226_GZ_B4_H3_GZpool_07_2020	kallisto_DL226_GZ_B4_H3_GZpool_07_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
DL226	GZr_B3_F8	GZpool_07_2020	DL226_GZr_B3_F8_GZpool_07_2020	kallisto_DL226_GZr_B3_F8_GZpool_07_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
DL238	GZ_B1_H5	GZpool_01_2019	DL238_GZ_B1_H5_GZpool_01_2019	kallisto_DL238_GZ_B1_H5_GZpool_01_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
DL238	GZ_B6_A2	GZpool_04_2019	DL238_GZ_B6_A2_GZpool_04_2019	kallisto_DL238_GZ_B6_A2_GZpool_04_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
DL238	GZ_B6_C8	GZpool_06_2019	DL238_GZ_B6_C8_GZpool_06_2019	kallisto_DL238_GZ_B6_C8_GZpool_06_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA189	GZ_B7_I8	GZpool_04_2019	ECA189_GZ_B7_I8_GZpool_04_2019	kallisto_ECA189_GZ_B7_I8_GZpool_04_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA189	GZ_B8_A1	GZpool_06_2019	ECA189_GZ_B8_A1_GZpool_06_2019	kallisto_ECA189_GZ_B8_A1_GZpool_06_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA189	GZr_B7_I7	GZpool_08_2020	ECA189_GZr_B7_I7_GZpool_08_2020	kallisto_ECA189_GZr_B7_I7_GZpool_08_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA248	GZ_B3_D1	GZpool_03_2019	ECA248_GZ_B3_D1_GZpool_03_2019	kallisto_ECA248_GZ_B3_D1_GZpool_03_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA248	GZ_B5_A9	GZpool_05_2019	ECA248_GZ_B5_A9_GZpool_05_2019	kallisto_ECA248_GZ_B5_A9_GZpool_05_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA248	GZr_B3_A4	GZpool_07_2020	ECA248_GZr_B3_A4_GZpool_07_2020	kallisto_ECA248_GZr_B3_A4_GZpool_07_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA250	GZ_B7_C1	GZpool_04_2019	ECA250_GZ_B7_C1_GZpool_04_2019	kallisto_ECA250_GZ_B7_C1_GZpool_04_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA250	GZ_B7_E7	GZpool_06_2019	ECA250_GZ_B7_E7_GZpool_06_2019	kallisto_ECA250_GZ_B7_E7_GZpool_06_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA250	GZr_B5_D8	GZpool_08_2020	ECA250_GZr_B5_D8_GZpool_08_2020	kallisto_ECA250_GZr_B5_D8_GZpool_08_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA251	GZ_B1_C9	GZpool_01_2019	ECA251_GZ_B1_C9_GZpool_01_2019	kallisto_ECA251_GZ_B1_C9_GZpool_01_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA251	GZ_B3_I5	GZpool_03_2019	ECA251_GZ_B3_I5_GZpool_03_2019	kallisto_ECA251_GZ_B3_I5_GZpool_03_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA251	GZ_B4_E7	GZpool_05_2019	ECA251_GZ_B4_E7_GZpool_05_2019	kallisto_ECA251_GZ_B4_E7_GZpool_05_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA259	GZ_B3_D2	GZpool_03_2019	ECA259_GZ_B3_D2_GZpool_03_2019	kallisto_ECA259_GZ_B3_D2_GZpool_03_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA259	GZ_B7_G4	GZpool_06_2019	ECA259_GZ_B7_G4_GZpool_06_2019	kallisto_ECA259_GZ_B7_G4_GZpool_06_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA259	GZr_B3_A5	GZpool_07_2020	ECA259_GZr_B3_A5_GZpool_07_2020	kallisto_ECA259_GZr_B3_A5_GZpool_07_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA348	GZ_B6_D1	GZpool_04_2019	ECA348_GZ_B6_D1_GZpool_04_2019	kallisto_ECA348_GZ_B6_D1_GZpool_04_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA348	GZ_B8_A3	GZpool_06_2019	ECA348_GZ_B8_A3_GZpool_06_2019	kallisto_ECA348_GZ_B8_A3_GZpool_06_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA348	GZr_B6_A3	GZpool_08_2020	ECA348_GZr_B6_A3_GZpool_08_2020	kallisto_ECA348_GZr_B6_A3_GZpool_08_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA349	GZ_B2_A4	GZpool_01_2019	ECA349_GZ_B2_A4_GZpool_01_2019	kallisto_ECA349_GZ_B2_A4_GZpool_01_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA349	GZ_B4_H4	GZpool_07_2020	ECA349_GZ_B4_H4_GZpool_07_2020	kallisto_ECA349_GZ_B4_H4_GZpool_07_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA349	GZr_B2_D1	GZpool_08_2020	ECA349_GZr_B2_D1_GZpool_08_2020	kallisto_ECA349_GZr_B2_D1_GZpool_08_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA363	GZ_B8_B3	GZpool_03_2019	ECA363_GZ_B8_B3_GZpool_03_2019	kallisto_ECA363_GZ_B8_B3_GZpool_03_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA363	GZ_B8_D8	GZpool_04_2019	ECA363_GZ_B8_D8_GZpool_04_2019	kallisto_ECA363_GZ_B8_D8_GZpool_04_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA363	GZ_B8_F9	GZpool_06_2019	ECA363_GZ_B8_F9_GZpool_06_2019	kallisto_ECA363_GZ_B8_F9_GZpool_06_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA372	GZ_B8_B4	GZpool_03_2019	ECA372_GZ_B8_B4_GZpool_03_2019	kallisto_ECA372_GZ_B8_B4_GZpool_03_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA372	GZ_B8_G1	GZpool_06_2019	ECA372_GZ_B8_G1_GZpool_06_2019	kallisto_ECA372_GZ_B8_G1_GZpool_06_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA372	GZr_B8_D9	GZpool_07_2020	ECA372_GZr_B8_D9_GZpool_07_2020	kallisto_ECA372_GZr_B8_D9_GZpool_07_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA592	GZ_B8_B5	GZpool_03_2019	ECA592_GZ_B8_B5_GZpool_03_2019	kallisto_ECA592_GZ_B8_B5_GZpool_03_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA592	GZ_B8_E1	GZpool_04_2019	ECA592_GZ_B8_E1_GZpool_04_2019	kallisto_ECA592_GZ_B8_E1_GZpool_04_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA592	GZ_B8_G2	GZpool_07_2020	ECA592_GZ_B8_G2_GZpool_07_2020	kallisto_ECA592_GZ_B8_G2_GZpool_07_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA594	GZ_B8_B6	GZpool_03_2019	ECA594_GZ_B8_B6_GZpool_03_2019	kallisto_ECA594_GZ_B8_B6_GZpool_03_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA594	GZ_B8_E2	GZpool_04_2019	ECA594_GZ_B8_E2_GZpool_04_2019	kallisto_ECA594_GZ_B8_E2_GZpool_04_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA594	GZ_B8_G3	GZpool_07_2020	ECA594_GZ_B8_G3_GZpool_07_2020	kallisto_ECA594_GZ_B8_G3_GZpool_07_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA703	GZ_B8_B7	GZpool_03_2019	ECA703_GZ_B8_B7_GZpool_03_2019	kallisto_ECA703_GZ_B8_B7_GZpool_03_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA703	GZ_B8_G4	GZpool_05_2019	ECA703_GZ_B8_G4_GZpool_05_2019	kallisto_ECA703_GZ_B8_G4_GZpool_05_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA703	GZ_B8_I7	GZpool_07_2020	ECA703_GZ_B8_I7_GZpool_07_2020	kallisto_ECA703_GZ_B8_I7_GZpool_07_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA705	GZ_B8_B8	GZpool_03_2019	ECA705_GZ_B8_B8_GZpool_03_2019	kallisto_ECA705_GZ_B8_B8_GZpool_03_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA705	GZ_B8_E3	GZpool_04_2019	ECA705_GZ_B8_E3_GZpool_04_2019	kallisto_ECA705_GZ_B8_E3_GZpool_04_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA705	GZ_B8_G5	GZpool_07_2020	ECA705_GZ_B8_G5_GZpool_07_2020	kallisto_ECA705_GZ_B8_G5_GZpool_07_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA710	GZ_B8_B9	GZpool_03_2019	ECA710_GZ_B8_B9_GZpool_03_2019	kallisto_ECA710_GZ_B8_B9_GZpool_03_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA710	GZ_B8_E4	GZpool_04_2019	ECA710_GZ_B8_E4_GZpool_04_2019	kallisto_ECA710_GZ_B8_E4_GZpool_04_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA710	GZ_B8_G6	GZpool_07_2020	ECA710_GZ_B8_G6_GZpool_07_2020	kallisto_ECA710_GZ_B8_G6_GZpool_07_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA738	GZ_B8_C1	GZpool_03_2019	ECA738_GZ_B8_C1_GZpool_03_2019	kallisto_ECA738_GZ_B8_C1_GZpool_03_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA738	GZ_B8_E5	GZpool_05_2019	ECA738_GZ_B8_E5_GZpool_05_2019	kallisto_ECA738_GZ_B8_E5_GZpool_05_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA738	GZ_B8_G7	GZpool_07_2020	ECA738_GZ_B8_G7_GZpool_07_2020	kallisto_ECA738_GZ_B8_G7_GZpool_07_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA743	GZ_B8_C2	GZpool_03_2019	ECA743_GZ_B8_C2_GZpool_03_2019	kallisto_ECA743_GZ_B8_C2_GZpool_03_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA743	GZ_B8_E6	GZpool_05_2019	ECA743_GZ_B8_E6_GZpool_05_2019	kallisto_ECA743_GZ_B8_E6_GZpool_05_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA743	GZ_B8_G8	GZpool_07_2020	ECA743_GZ_B8_G8_GZpool_07_2020	kallisto_ECA743_GZ_B8_G8_GZpool_07_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA745	GZ_B8_E7	GZpool_05_2019	ECA745_GZ_B8_E7_GZpool_05_2019	kallisto_ECA745_GZ_B8_E7_GZpool_05_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA745	GZ_B8_G9	GZpool_07_2020	ECA745_GZ_B8_G9_GZpool_07_2020	kallisto_ECA745_GZ_B8_G9_GZpool_07_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA777	GZ_B8_E8	GZpool_05_2019	ECA777_GZ_B8_E8_GZpool_05_2019	kallisto_ECA777_GZ_B8_E8_GZpool_05_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA777	GZ_B8_H1	GZpool_07_2020	ECA777_GZ_B8_H1_GZpool_07_2020	kallisto_ECA777_GZ_B8_H1_GZpool_07_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA777	GZm_B8_C4	GZpool_0308_2020	ECA777_GZm_B8_C4_GZpool_0308_2020	kallisto_ECA777_GZm_B8_C4_GZpool_0308_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA812	GZ_B8_E9	GZpool_05_2019	ECA812_GZ_B8_E9_GZpool_05_2019	kallisto_ECA812_GZ_B8_E9_GZpool_05_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA812	GZ_B8_H2	GZpool_07_2020	ECA812_GZ_B8_H2_GZpool_07_2020	kallisto_ECA812_GZ_B8_H2_GZpool_07_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
ECA812	GZm_B8_C5	GZpool_0307_2020	ECA812_GZm_B8_C5_GZpool_0307_2020	kallisto_ECA812_GZm_B8_C5_GZpool_0307_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
