condition	id	seq_pool	samplename	sample	filepath
AB1	GZ_B5_D6	GZpool_02_2019	AB1_GZ_B5_D6_GZpool_02_2019	kallisto_AB1_GZ_B5_D6_GZpool_02_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
AB1	GZr_B3_A3	GZpool_07_2020	AB1_GZr_B3_A3_GZpool_07_2020	kallisto_AB1_GZr_B3_A3_GZpool_07_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
AB1	GZr_B3_C9	GZpool_07_2020	AB1_GZr_B3_C9_GZpool_07_2020	kallisto_AB1_GZr_B3_C9_GZpool_07_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
BRC20067	GZ_B1_A3	GZpool_01_2019	BRC20067_GZ_B1_A3_GZpool_01_2019	kallisto_BRC20067_GZ_B1_A3_GZpool_01_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
BRC20067	GZr_B4_B9	GZpool_07_2020	BRC20067_GZr_B4_B9_GZpool_07_2020	kallisto_BRC20067_GZr_B4_B9_GZpool_07_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
BRC20067	GZr_B1_H2	GZpool_08_2020	BRC20067_GZr_B1_H2_GZpool_08_2020	kallisto_BRC20067_GZr_B1_H2_GZpool_08_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
BRC20263	GZ_B7_I9	GZpool_02_2019	BRC20263_GZ_B7_I9_GZpool_02_2019	kallisto_BRC20263_GZ_B7_I9_GZpool_02_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
BRC20263	GZ_B7_I6	GZpool_04_2019	BRC20263_GZ_B7_I6_GZpool_04_2019	kallisto_BRC20263_GZ_B7_I6_GZpool_04_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
BRC20263	GZr_B7_I5	GZpool_08_2020	BRC20263_GZr_B7_I5_GZpool_08_2020	kallisto_BRC20263_GZr_B7_I5_GZpool_08_2020	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CB4852	GZ_B6_H9	GZpool_04_2019	CB4852_GZ_B6_H9_GZpool_04_2019	kallisto_CB4852_GZ_B6_H9_GZpool_04_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
CB4852	GZ_B7_B6	GZpool_06_2019	CB4852_GZ_B7_B6_GZpool_06_2019	kallisto_CB4852_GZ_B7_B6_GZpool_06_2019	/projects/b1059/projects/Gaotian/RNASeq/eQTL_Wi/eQTL-20210602/kallisto
