isotype	strain
N2	ECA255
N2	ECA257
PB306	ECA258
PB306	ECA259
CB4856	ECA260
ECA2677	ECA2677
ECA2678	ECA2678
ECA2679	ECA2679
ECA2686	ECA2686
ECA347	ECA347
ECA348	ECA348
ECA349	ECA349
ECA349	ECA350
ECA36	ECA36
ECA363	ECA363
ECA369	ECA369
ECA372	ECA372
ECA189	ECA393
ECA189	ECA394
ECA189	ECA395
ECA396	ECA396
ECA396	ECA397
ECA396	ECA398
ECA396	ECA399
JU311	ECA551
MY2573	ECA552
ED3073	ECA571
ED3073	ECA572
JU1395	ECA589
ECA592	ECA592
ECA593	ECA593
ECA594	ECA594
JU1581	ECA615
JU1530	ECA616
ECA640	ECA640
ECA701	ECA701
ECA701	ECA702
ECA703	ECA703
ECA812	ECA704
ECA705	ECA705
ECA706	ECA706
ECA778	ECA707
ECA778	ECA708
ECA778	ECA709
ECA710	ECA710
ECA712	ECA711
ECA712	ECA712
ECA712	ECA713
ECA712	ECA714
ECA712	ECA715
ECA807	ECA716
ECA807	ECA717
ECA807	ECA718
ECA812	ECA719
ECA807	ECA720
ECA778	ECA721
ECA722	ECA722
ECA723	ECA723
ECA724	ECA724
ECA724	ECA725
ECA724	ECA726
ECA724	ECA727
ECA723	ECA728
ECA723	ECA729
ECA730	ECA730
ECA733	ECA731
ECA732	ECA732
ECA733	ECA733
ECA738	ECA734
ECA738	ECA735
ECA738	ECA736
ECA738	ECA737
ECA738	ECA738
ECA760	ECA739
ECA740	ECA740
ECA741	ECA741
ECA742	ECA742
ECA743	ECA743
ECA744	ECA744
ECA745	ECA745
ECA746	ECA746
ECA745	ECA747
ECA812	ECA748
ECA760	ECA749
ECA812	ECA750
ECA812	ECA751
ECA760	ECA752
ECA760	ECA753
ECA760	ECA754
ECA812	ECA755
ECA778	ECA756
ECA778	ECA757
ECA760	ECA758
ECA812	ECA759
ECA760	ECA760
ECA812	ECA761
ECA812	ECA762
ECA778	ECA763
ECA778	ECA764
ECA778	ECA765
ECA778	ECA766
ECA778	ECA767
ECA768	ECA768
ECA760	ECA769
ECA807	ECA770
ECA812	ECA771
ECA768	ECA772
ECA812	ECA773
ECA812	ECA774
ECA812	ECA775
ECA812	ECA776
ECA777	ECA777
ECA778	ECA778
ECA760	ECA779
ECA760	ECA780
ECA778	ECA781
ECA812	ECA782
ECA812	ECA783
ECA760	ECA784
ECA760	ECA785
ECA812	ECA786
ECA812	ECA787
ECA807	ECA807
ECA760	ECA808
ECA812	ECA809
ECA778	ECA810
ECA778	ECA811
ECA812	ECA812
ECA812	ECA813
ECA705	ECA822
ECA923	ECA922
ECA923	ECA923
ECA923	ECA924
ECA923	ECA925
ECA928	ECA926
ECA923	ECA927
ECA928	ECA928
ECA930	ECA930
ED3005	ED3005
ED3012	ED3010
ED3011	ED3011
ED3012	ED3012
ED3012	ED3014
ED3012	ED3015
ED3017	ED3017
ED3017	ED3019
ED3017	ED3020
ED3005	ED3021
ED3012	ED3023
ED3012	ED3024
ED3012	ED3028
ED3040	ED3040
ED3048	ED3042
ED3052	ED3043
ED3046	ED3046
ED3048	ED3048
ED3049	ED3049
ED3052	ED3052
ED3073	ED3057
ED3073	ED3072
ED3073	ED3073
ED3073	ED3075
ED3077	ED3077
EG4347	EG4346
EG4347	EG4347
EG4349	EG4348
EG4349	EG4349
EG4946	EG4680
EG4946	EG4689
EG4724	EG4724
EG4725	EG4725
EG4946	EG4945
EG4946	EG4946
EG4946	EG4948
EG4946	EG4951
EG4946	EG4957
GXW1	GXW1
JT11398	JT11362
JT11398	JT11398
JT11398	JT11399
JU310	JU1026
JU310	JU1037
JU310	JU1039
JU310	JU1040
JU1088	JU1088
MY23	JU1171
JU1172	JU1172
JU1200	JU1200
JU310	JU1204
JU310	JU1206
JU1212	JU1207
JU1212	JU1212
JU1213	JU1213
JU1212	JU1214
JU1242	JU1218
JU1242	JU1230
JU1242	JU1242
JU1242	JU1243
JU1246	JU1246
JU1249	JU1249
JU1395	JU1395
JU1400	JU1400
JU1409	JU1401
JU1409	JU1409
JU1409	JU1410
JU1409	JU1411
JU1440	JU1440
JU1213	JU1482
JU1491	JU1484
JU1491	JU1491
JU792	JU1511
JU1581	JU1516
JU1581	JU1522
JU1530	JU1530
JU1543	JU1543
CB4852	JU1563
JU1568	JU1566
JU1568	JU1568
JU1793	JU1580
JU1581	JU1581
JU1581	JU1582
JU1586	JU1586
JU1652	JU1652
JU1213	JU1656
JU1666	JU1666
JU1213	JU1762
JU1213	JU1770
JU1792	JU1792
JU1793	JU1793
JU1581	JU1807
JU1808	JU1808
JU1896	JU1896
JU1793	JU1920
JU1793	JU1922
JU2600	JU1924
JU2600	JU1926
JU1793	JU1929
JU1793	JU1931
JU1934	JU1934
JU1581	JU1941
CB4858	JU1960
JU2001	JU2001
JU2007	JU2007
JU2016	JU2016
JU2017	JU2017
JU2106	JU2106
JU2131	JU2131
JU1793	JU2139
JU2141	JU2141
JU2600	JU2151
JU2234	JU2234
JU2250	JU2250
JU2257	JU2257
JU2257	JU2287
JU2316	JU2316
JU792	JU2460
JU2464	JU2464
JU2466	JU2466
JU2464	JU2467
JU2464	JU2468
JU2478	JU2478
JU2513	JU2513
JU2519	JU2519
JU2522	JU2522
JU2526	JU2526
JU792	JU2527
JU2534	JU2534
JU2565	JU2565
JU2566	JU2566
JU2570	JU2570
JU2572	JU2572
JU2575	JU2575
JU2576	JU2576
JU2578	JU2578
JU258	JU258
JU2581	JU2581
JU2586	JU2586
JU2587	JU2587
JU2592	JU2592
JU2593	JU2593
JU2600	JU2600
JU1793	JU2604
JU1793	JU2605
JU2610	JU2610
JU2619	JU2619
JU310	JU262
JU310	JU263
JU2800	JU2800
JU2800	JU2802
JU2811	JU2811
JU2825	JU2825
JU2829	JU2828
JU2829	JU2829
JU2829	JU2830
JU2838	JU2838
JU2841	JU2841
JU2853	JU2853
JU1200	JU2860
JU2862	JU2862
JU2866	JU2866
JU2878	JU2878
JU2879	JU2879
JU2906	JU2906
JU2907	JU2907
JU2907	JU2908
JU310	JU299
JU310	JU300
JU310	JU301
JU310	JU302
JU310	JU303
JU310	JU305
JU310	JU306
JU310	JU307
JU310	JU309
JU310	JU310
JU311	JU311
JU311	JU312
JU3125	JU3125
JU3127	JU3127
JU3128	JU3128
JU311	JU313
JU323	JU3131
JU3132	JU3132
JU1440	JU3133
JU3134	JU3134
JU3135	JU3135
MY2453	JU3136
JU3137	JU3137
JU2600	JU3138
JU1666	JU3139
JU311	JU314
JU3140	JU3140
JU3141	JU3141
JU792	JU3142
JU3144	JU3144
JU311	JU315
JU311	JU316
JU3166	JU3166
JU3167	JU3167
JU3169	JU3169
JU311	JU317
JU311	JU318
JU311	JU319
JU311	JU321
JU323	JU322
JU3224	JU3224
JU3225	JU3225
JU3226	JU3226
JU3228	JU3227
JU3228	JU3228
JU323	JU323
JU1793	JU3271
JU3280	JU3280
JU3282	JU3282
JU3291	JU3291
JU3318	JU3318
JU1793	JU3398
JU1793	JU3399
JU1793	JU3400
JU1793	JU3401
JU1793	JU3402
JU1793	JU3403
JU323	JU342
JU346	JU345
JU346	JU346
JU323	JU347
JU360	JU360
JU367	JU361
JU360	JU362
JU360	JU363
JU360	JU364
JU360	JU366
JU367	JU367
JU360	JU368
JU360	JU369
JU360	JU370
JU367	JU371
JU393	JU393
JU394	JU394
JU792	JU395
JU792	JU396
JU397	JU397
JU397	JU398
JU394	JU399
JU394	JU400
JU397	JU401
JU397	JU402
JU406	JU406
JU406	JU407
JU310	JU438
JU440	JU440
JU1213	JU531
JU1213	JU533
JU561	JU561
JU561	JU563
JU792	JU622
JU642	JU642
JU367	JU692
JU367	JU693
JU367	JU694
JU751	JU751
JU774	JU774
JU775	JU775
JU778	JU778
JU782	JU782
JU792	JU792
JU775	JU799
JU360	JU801
JU830	JU829
JU830	JU830
JU847	JU847
JU847	JU848
KR314	KR314
LKC34	LKC34
MY1	MY1
MY10	MY10
MY10	MY11
MY10	MY12
MY10	MY13
MY23	MY14
MY23	MY15
MY16	MY16
MY10	MY17
MY18	MY18
MY10	MY19
MY23	MY2
MY10	MY20
MY2453	MY2001
MY2453	MY2004
MY2453	MY2011
MY2453	MY2014
RC301	MY2022
RC301	MY2024
MY920	MY2042
MY2453	MY2050
MY2453	MY2051
MY2453	MY2054
RC301	MY2078
MY679	MY2079
MY920	MY2097
MY795	MY2099
MY10	MY21
MY2741	MY2109
MY2453	MY2121
MY2453	MY2137
MY920	MY2138
MY2573	MY2142
MY2147	MY2143
MY2573	MY2144
MY2147	MY2147
MY2573	MY2198
MY2453	MY2199
MY10	MY22
MY2573	MY2208
MY2212	MY2212
MY2573	MY2224
MY2573	MY2239
MY2573	MY2282
MY2453	MY2288
RC301	MY2291
MY2573	MY2294
MY23	MY23
MY2573	MY2338
MY2453	MY2339
MY2535	MY2344
MY920	MY2347
MY920	MY2373
MY920	MY2406
MY2573	MY2434
MY2573	MY2443
MY2453	MY2453
MY920	MY2479
JU311	MY2481
MY2573	MY2491
MY2453	MY2502
MY2530	MY2530
MY2535	MY2532
MY2535	MY2535
MY2453	MY2541
MY2573	MY2573
MY2453	MY2579
MY2585	MY2585
MY2453	MY2622
MY2585	MY2623
RC301	MY2630
MY2713	MY2635
RC301	MY2636
RC301	MY2640
MY2713	MY2679
RC301	MY2681
RC301	MY2684
MY2693	MY2685
MY920	MY2688
MY2713	MY2689
RC301	MY2691
MY2741	MY2692
MY2693	MY2693
MY2713	MY2713
MY2693	MY2719
MY2741	MY2741
MY10	MY3
MY10	MY4
MY10	MY5
MY2453	MY508
MY518	MY518
MY2453	MY524
MY795	MY538
MY2573	MY559
MY2453	MY561
MY2453	MY564
MY2453	MY570
MY2573	MY579
MY920	MY589
MY18	MY6
MY795	MY673
MY679	MY679
RC301	MY684
MY10	MY7
MY2573	MY710
MY2453	MY713
MY920	MY741
MY772	MY772
MY2453	MY792
MY795	MY795
MY10	MY8
MY2713	MY803
MY2573	MY804
MY2453	MY819
MY2453	MY864
MY2535	MY881
RC301	MY882
MY920	MY887
MY10	MY9
MY2453	MY904
MY920	MY920
MY2573	MY934
MY2453	MY965
MY920	MY990
MY679	MY991
N2	N2
NIC1	NIC1
NIC1049	NIC1049
NIC1107	NIC1107
NIC1119	NIC1119
MY2573	NIC1604
NIC166	NIC166
NIC1779	NIC1779
NIC1780	NIC1780
NIC1806	NIC1781
NIC1783	NIC1783
NIC1785	NIC1785
NIC1786	NIC1786
NIC1787	NIC1787
NIC1788	NIC1788
NIC1789	NIC1789
NIC1794	NIC1793
NIC1794	NIC1794
NIC1788	NIC1795
NIC1796	NIC1796
NIC1798	NIC1797
NIC1798	NIC1798
NIC1799	NIC1799
NIC1806	NIC1800
NIC1801	NIC1801
NIC1802	NIC1802
NIC1805	NIC1803
NIC1805	NIC1805
NIC1806	NIC1806
NIC1808	NIC1808
NIC1809	NIC1809
NIC1810	NIC1810
NIC1811	NIC1811
NIC1812	NIC1812
NIC1832	NIC1832
NIC195	NIC195
NIC195	NIC196
NIC195	NIC197
NIC195	NIC198
NIC199	NIC199
NIC2	NIC2
NIC199	NIC200
NIC207	NIC207
NIC231	NIC231
NIC231	NIC232
NIC236	NIC236
NIC236	NIC237
NIC242	NIC242
NIC251	NIC251
NIC252	NIC252
NIC255	NIC255
NIC256	NIC256
NIC258	NIC258
NIC259	NIC259
NIC260	NIC260
NIC261	NIC261
NIC262	NIC262
NIC256	NIC263
NIC265	NIC265
NIC266	NIC266
NIC267	NIC267
NIC268	NIC268
NIC269	NIC269
NIC267	NIC270
NIC271	NIC271
NIC272	NIC272
NIC272	NIC273
NIC274	NIC274
NIC275	NIC275
NIC276	NIC276
NIC277	NIC277
NIC3	NIC3
NIC3	NIC4
NIC501	NIC501
MY2535	NIC508
NIC511	NIC511
MY2535	NIC512
NIC513	NIC513
NIC514	NIC514
NIC515	NIC515
NIC527	NIC521
NIC522	NIC522
NIC523	NIC523
NIC526	NIC526
NIC527	NIC527
NIC528	NIC528
NIC529	NIC529
PB303	PB303
PS2025	PS2025
PX179	PX178
PX179	PX179
QG2075	QG2075
QG2811	QG2810
QG2811	QG2811
QG2813	QG2812
QG2813	QG2813
QG2818	QG2818
QG2823	QG2823
QG2824	QG2824
QG2825	QG2825
QG2823	QG2826
QG2827	QG2827
QG2828	QG2828
QG2827	QG2829
QG2832	QG2830
QG2832	QG2831
QG2832	QG2832
QG2832	QG2833
QG2835	QG2834
QG2835	QG2835
QG2836	QG2836
QG2837	QG2837
QG2838	QG2838
QG2841	QG2839
QG2841	QG2840
QG2841	QG2841
QG2841	QG2842
QG2843	QG2843
QG2846	QG2844
QG2846	QG2845
QG2846	QG2846
QG2850	QG2850
QG2850	QG2851
QG2854	QG2852
QG2854	QG2853
QG2854	QG2854
QG2855	QG2855
QG2854	QG2856
QG2857	QG2857
QG2854	QG2858
QG2854	QG2859
QG2873	QG2872
QG2873	QG2873
QG2874	QG2874
QG2875	QG2875
QG2875	QG2876
QG2877	QG2877
QG2877	QG2878
QG2932	QG2927
QG2932	QG2928
QG2932	QG2931
QG2932	QG2932
QG536	QG536
QG536	QG537
QG536	QG538
QG556	QG556
QG557	QG557
QG556	QG558
QW947	QW947
QX1211	QX1211
QX1212	QX1212
QX1212	QX1213
QX1212	QX1214
QX1211	QX1215
QX1211	QX1216
QX1233	QX1218
QX1233	QX1233
QX1791	QX1791
QX1792	QX1792
QX1793	QX1793
QX1794	QX1794
RC301	RC301
CB4851	RW7000
TWN2530	TWN2530
TWN2542	TWN2542
TWN2542	TWN2794
TWN2542	TWN2803
WN2001	WN2001
WN2002	WN2002
WN2002	WN2003
WN2001	WN2010
WN2001	WN2011
WN2001	WN2013
WN2001	WN2014
WN2001	WN2016
WN2001	WN2017
WN2001	WN2018
WN2001	WN2019
WN2001	WN2020
WN2001	WN2021
WN2033	WN2033
WN2033	WN2035
WN2033	WN2039
WN2050	WN2050
WN2050	WN2056
WN2066	WN2059
WN2066	WN2060
WN2050	WN2062
WN2063	WN2063
WN2064	WN2064
WN2066	WN2065
WN2066	WN2066
WN2050	WN2067
WN2068	WN2068
WN2069	WN2069
WN2066	WN2070
WN2068	WN2071
WN2066	WN2073
WN2066	WN2074
WN2066	WN2075
MY2535	WN2076
XZ1513	XZ1513
XZ1514	XZ1514
XZ1515	XZ1515
XZ1516	XZ1516
XZ1672	XZ1672
XZ1734	XZ1734
XZ1735	XZ1735
XZ1756	XZ1756
XZ2018	XZ2018
XZ2019	XZ2019
XZ2020	XZ2020
MY2535	XZ2210
XZ2211	XZ2211
XZ1513	XZ2212
NA	CB3191
NA	CB3192
NA	CB3193
NA	CB3194
NA	CB3195
NA	CB4507
NA	CB4555
NA	DH424
NA	DR1349
NA	ECA244
NA	ECA252
NA	LSJ1
NA	PX174
NA	PX176
NA	TR388
NA	TR389
NA	TR403
NA	ECA339
NA	JU1893
NA	JU2461
NA	JU2574
NA	JU2771
NA	MY2649
NA	MY2682
NA	ECA1219
ECA1185	ECA1184
ECA1187	ECA1187
ECA1187	ECA1188
ECA1187	ECA1189
ECA1187	ECA1190
ECA1192	ECA1192
ECA1196	ECA1196
ECA1237	ECA1197
ECA1237	ECA1198
ECA1238	ECA1199
ECA1200	ECA1200
ECA2677	ECA1202
ECA1208	ECA1204
ECA2678	ECA1206
ECA1208	ECA1207
ECA2679	ECA1209
ECA744	ECA1210
ECA2679	ECA1211
ECA1225	ECA1227
ECA1229	ECA1230
ECA1229	ECA1231
ECA1237	ECA1235
ECA1255	ECA1249
ECA1252	ECA1252
ECA1257	ECA1254
ECA1298	ECA1297
ECA1413	ECA1388
ECA2111	ECA1689
ECA2111	ECA1695
ECA1713	ECA1713
ECA2151	ECA1715
ECA2151	ECA1718
ECA2151	ECA1721
ECA1851	ECA1723
ECA1751	ECA1737
ECA1751	ECA1741
ECA1761	ECA1743
ECA1751	ECA1747
ECA1751	ECA1749
ECA1751	ECA1751
ECA1751	ECA1753
ECA1757	ECA1755
ECA1757	ECA1757
ECA1853	ECA1759
ECA1761	ECA1761
ECA1761	ECA1763
ECA1761	ECA1765
ECA1769	ECA1769
ECA1769	ECA1771
ECA1281	ECA1781
	ECA1783
ECA2377	ECA1785
ECA2081	ECA1787
ECA2443	ECA1791
ECA1769	ECA1795
ECA1769	ECA1797
ECA1805	ECA1805
ECA1815	ECA1815
ECA1821	ECA1821
ECA2336	ECA1829
ECA1843	ECA1839
ECA1843	ECA1843
ECA1885	ECA1845
ECA1851	ECA1851
ECA1853	ECA1853
ECA1853	ECA1855
ECA1853	ECA1857
ECA1919	ECA1861
ECA1919	ECA1867
ECA1919	ECA1871
ECA1875	ECA1875
ECA2336	ECA1877
ECA741	ECA1878
ECA1885	ECA1885
ECA1889	ECA1889
ECA1891	ECA1891
ECA1887	ECA1897
ECA1889	ECA1903
ECA2336	ECA1907
ECA2473	ECA1909
ECA2473	ECA1911
ECA2443	ECA1913
ECA2443	ECA1915
ECA1919	ECA1919
ECA1919	ECA1921
ECA1919	ECA1923
ECA1925	ECA1925
ECA1919	ECA1927
ECA1919	ECA1935
ECA1939	ECA1939
ECA1943	ECA1943
ECA1939	ECA1953
ECA1977	ECA1967
ECA1969	ECA1969
ECA1977	ECA1971
ECA1281	ECA1975
ECA1977	ECA1977
ECA2678	ECA1979
ECA1977	ECA1981
ECA2678	ECA1983
ECA1977	ECA1985
ECA1281	ECA1987
ECA1281	ECA1989
ECA1281	ECA1991
ECA2041	ECA2041
ECA2073	ECA2067
ECA2073	ECA2073
ECA2081	ECA2081
ECA2081	ECA2085
ECA2091	ECA2091
ECA2195	ECA2095
ECA2195	ECA2097
ECA2151	ECA2099
ECA2091	ECA2101
ECA2091	ECA2103
ECA2109	ECA2109
ECA2111	ECA2111
ECA2151	ECA2117
ECA2119	ECA2119
ECA1793	ECA2121
ECA2151	ECA2122
ECA2281	ECA2125
ECA2151	ECA2127
ECA2151	ECA2131
ECA2187	ECA2135
ECA2187	ECA2139
ECA2151	ECA2143
ECA2151	ECA2147
ECA2151	ECA2151
ECA2155	ECA2155
ECA2159	ECA2159
ECA2159	ECA2163
ECA2151	ECA2167
ECA2151	ECA2171
ECA2151	ECA2175
ECA2187	ECA2179
ECA2183	ECA2183
ECA2187	ECA2187
ECA2191	ECA2191
ECA2195	ECA2195
ECA2199	ECA2199
ECA2195	ECA2203
ECA2195	ECA2207
ECA2281	ECA2281
ECA2281	ECA2283
ECA2281	ECA2285
ECA2281	ECA2287
ECA2336	ECA2289
ECA2291	ECA2291
ECA741	ECA2307
ECA2091	ECA2313
ECA2091	ECA2315
ECA2336	ECA2319
ECA1853	ECA2324
ECA2332	ECA2332
ECA2336	ECA2336
ECA2344	ECA2344
ECA2360	ECA2360
ECA2360	ECA2362
ECA2377	ECA2375
ECA2377	ECA2377
ECA2473	ECA2401
ECA2473	ECA2403
ECA2473	ECA2405
ECA2417	ECA2413
ECA2417	ECA2415
ECA2417	ECA2417
ECA2417	ECA2419
ECA2417	ECA2421
ECA2417	ECA2423
ECA1281	ECA2429
ECA1281	ECA2431
ECA1281	ECA2433
ECA1281	ECA2435
ECA2437	ECA2437
ECA1281	ECA2439
ECA2443	ECA2443
ECA2443	ECA2445
ECA2452	ECA2452
ECA2467	ECA2467
ECA2473	ECA2473
ECA2475	ECA2475
ECA2482	ECA2482
ECA2489	ECA2489
ECA2533	ECA2521
ECA2522	ECA2522
ECA2523	ECA2523
ECA2523	ECA2524
ECA2533	ECA2525
ECA2536	ECA2526
ECA2527	ECA2527
ECA2527	ECA2528
ECA2529	ECA2529
ECA2533	ECA2532
ECA2533	ECA2533
ECA2533	ECA2534
ECA2536	ECA2535
ECA2536	ECA2536
ECA2533	ECA2537
ECA2546	ECA2546
ECA2546	ECA2547
ECA2672	ECA2548
ECA2549	ECA2549
ECA2551	ECA2550
ECA2551	ECA2551
ECA2672	ECA2552
ECA2551	ECA2553
ECA2554	ECA2554
ECA2555	ECA2555
ECA2559	ECA2556
ECA2559	ECA2557
ECA2609	ECA2558
ECA2559	ECA2559
ECA2560	ECA2560
ECA2561	ECA2561
ECA2565	ECA2562
ECA2565	ECA2563
ECA2565	ECA2564
ECA2565	ECA2565
ECA2565	ECA2566
ECA2565	ECA2567
ECA2568	ECA2568
ECA2603	ECA2569
ECA2561	ECA2570
ECA2581	ECA2571
ECA2581	ECA2572
ECA2581	ECA2573
ECA2603	ECA2574
ECA2603	ECA2575
ECA2676	ECA2576
ECA2603	ECA2577
ECA2603	ECA2578
ECA2561	ECA2579
ECA2581	ECA2581
ECA2546	ECA2582
ECA2583	ECA2583
ECA2584	ECA2584
ECA2672	ECA2585
ECA2584	ECA2586
ECA2594	ECA2589
ECA2595	ECA2590
ECA2594	ECA2591
ECA2594	ECA2592
ECA2595	ECA2593
ECA2594	ECA2594
ECA2595	ECA2595
ECA2584	ECA2596
ECA2603	ECA2598
ECA2601	ECA2601
ECA2602	ECA2602
ECA2603	ECA2603
ECA2594	ECA2606
ECA2607	ECA2607
ECA2672	ECA2608
ECA2609	ECA2609
ECA2609	ECA2610
ECA2612	ECA2612
ECA2615	ECA2615
ECA2641	ECA2641
ECA2641	ECA2642
ECA2648	ECA2648
ECA2659	ECA2659
ECA2660	ECA2660
ECA2672	ECA2672
ECA2551	ECA2674
ECA2609	ECA2675
ECA2676	ECA2676
ECA348	ECA694
ECA348	ECA695
JR4305	JR4305
JU4047	JU4047
JU4047	JU4048
JU4047	JU4054
JU4047	JU4067
JU4047	JU4069
JU4073	JU4071
JU4047	JU4072
JU4073	JU4073
JU4073	JU4074
JU4047	JU4075
JU4082	JU4082
JU4082	JU4085
JU4098	JU4098
JU751	JU755
NIC1782	NIC1782
JU642	NIC1977
JU642	NIC1980
JU642	NIC1985
JU642	NIC2002
JU642	NIC2004
JU642	NIC2011
WN2086	WN2077
WN2066	WN2078
WN2066	WN2079
WN2068	WN2080
WN2066	WN2081
WN2082	WN2082
MY2453	WN2083
WN2086	WN2086
WN2066	WN2088
WN2066	WN2089
WN2066	WN2090
WN2082	WN2091
WN2050	WN2092
WN2050	WN2093
WN2066	WN2095
WN2068	WN2096
XZ2211	XZ2213
	ECA1315
	ECA1316
	ECA1409
	ECA1691
	ECA1693
	ECA1709
	ECA1711
	ECA1717
	ECA1725
	ECA1727
	ECA1729
	ECA1731
	ECA1733
	ECA1735
	ECA1739
	ECA1745
	ECA1767
	ECA1779
	ECA1789
ECA1793	ECA1793
	ECA1799
	ECA1801
	ECA1803
	ECA1807
	ECA1809
	ECA1811
	ECA1813
	ECA1817
	ECA1819
	ECA1823
	ECA1825
	ECA1827
	ECA1831
	ECA1833
	ECA1835
	ECA1837
	ECA1841
	ECA1847
	ECA1849
	ECA1859
	ECA1863
	ECA1865
	ECA1869
	ECA1873
ECA1887	ECA1887
	ECA1895
	ECA1901
	ECA1904
	ECA1917
	ECA1929
	ECA1931
	ECA1933
	ECA1937
	ECA1951
	ECA1973
	ECA1993
	ECA1995
	ECA1997
	ECA2043
	ECA2065
	ECA2069
	ECA2071
	ECA2075
	ECA2077
	ECA2079
	ECA2107
	ECA2247
	ECA2249
	ECA2251
	ECA2253
	ECA2255
	ECA2293
	ECA2295
	ECA2309
	ECA2311
	ECA2321
	ECA2322
	ECA2326
	ECA2328
	ECA2330
	ECA2334
	ECA2338
	ECA2340
	ECA2342
	ECA2348
	ECA2350
	ECA2352
	ECA2354
	ECA2356
	ECA2358
	ECA2365
	ECA2367
	ECA2477
	ECA2479
	ECA2481
	ECA2485
	ECA2487
	ECA2580
	ECA2597
	ECA2599
	ECA2600
	ECA2605
	ECA2611
	ECA2643
	ECA2644
	ECA2645
	ECA2649
	ECA2650
	ECA2651
	ECA2652
	ECA2653
	ECA2654
	ECA2656
	ECA2657
	ECA2658
	ECA2673
	ECA2796
	NIC1784
	NIC1790
	NIC1791
	NIC1792
	NIC1804
	NIC1807
	QG4003
	QG4004
	QG4005
	QG4006
	QG4007
	QG4008
	QG4009
	QG4010
	QG4011
	QG4012
	QG4014
	QG4015
	QG4016
	QG4017
	QG4018
	QG4019
	QG4021
	QG4076
	QG4077
	QG4078
	QG4079
	QG4080
	QG4103
	QG4134
	QG4135
	QG4137
	QG4138
	QG4139
	QG4151
	QG4158
	QG4159
	QG4160
