isotype	strain
AB1	AB1
CB4858	AB2
CB4858	AB3
CB4858	AB4
BRC20067	BRC20067
BRC20067	BRC20113
MY23	BRC20231
BRC20263	BRC20263
CB4854	CB3196
CB4854	CB3197
CB4853	CB3198
CB4857	CB3199
CB4852	CB4852
CB4854	CB4854
CB4856	CB4856
CB4932	CB4932
CX11254	CX11254
CB4858	CX11258
CX11292	CX11259
CX11262	CX11262
CX11264	CX11264
CX11315	CX11268
CX11271	CX11271
CX11276	CX11276
CB4858	CX11278
CX11285	CX11285
CX11292	CX11292
CX11262	CX11294
CB4858	CX11305
CX11307	CX11307
CX11314	CX11314
CX11315	CX11315
CX11276	CX11316
CB4858	CX11317
CX11271	CX11319
CX11285	CX11321
DL200	DL200
DL226	DL226
DL238	DL238
CB4851	DR1344
CB4857	DR1345
CB4853	DR1350
ECA1069	ECA1069
ECA1074	ECA1070
ECA1074	ECA1071
ECA1074	ECA1072
ECA1074	ECA1073
ECA1074	ECA1074
ECA1185	ECA1185
ECA1186	ECA1186
ECA1191	ECA1191
ECA1193	ECA1193
ECA1194	ECA1194
ECA1195	ECA1195
ECA2677	ECA1201
ECA1208	ECA1203
ECA1208	ECA1205
ECA1208	ECA1208
ECA2679	ECA1212
ECA744	ECA1213
ECA744	ECA1214
ECA1216	ECA1215
ECA1216	ECA1216
ECA1216	ECA1217
ECA1216	ECA1218
ECA812	ECA1220
ECA812	ECA1221
ECA1225	ECA1222
ECA1223	ECA1223
ECA1223	ECA1224
ECA1225	ECA1225
ECA1225	ECA1226
ECA1228	ECA1228
ECA1229	ECA1229
ECA1232	ECA1232
ECA1229	ECA1233
ECA1237	ECA1234
ECA1237	ECA1236
ECA1237	ECA1237
ECA1238	ECA1238
ECA1238	ECA1239
ECA1240	ECA1240
ECA1229	ECA1241
ECA1242	ECA1242
ECA2686	ECA1243
ECA760	ECA1244
ECA760	ECA1245
ECA1247	ECA1246
ECA1247	ECA1247
ECA1251	ECA1250
ECA1251	ECA1251
ECA1253	ECA1253
ECA1255	ECA1255
ECA1255	ECA1256
ECA1257	ECA1257
ECA1257	ECA1258
ECA1260	ECA1259
ECA1260	ECA1260
ECA1261	ECA1261
ECA1281	ECA1262
ECA1281	ECA1263
ECA1281	ECA1264
ECA1288	ECA1265
ECA1288	ECA1266
ECA1269	ECA1267
ECA1269	ECA1268
ECA1269	ECA1269
ECA1271	ECA1270
ECA1271	ECA1271
ECA1247	ECA1272
ECA1281	ECA1273
ECA1247	ECA1274
ECA1281	ECA1275
ECA1276	ECA1276
ECA1276	ECA1277
ECA1278	ECA1278
ECA1281	ECA1279
ECA1281	ECA1281
ECA1281	ECA1282
ECA1283	ECA1283
ECA1284	ECA1284
ECA1284	ECA1285
ECA1286	ECA1286
ECA1287	ECA1287
ECA1288	ECA1288
ECA1289	ECA1289
ECA1286	ECA1290
ECA760	ECA1291
ECA1298	ECA1292
ECA1293	ECA1293
ECA1293	ECA1294
ECA1298	ECA1295
ECA1298	ECA1296
ECA1298	ECA1298
ECA760	ECA1385
ECA1413	ECA1389
ECA1413	ECA1391
ECA1413	ECA1413
ECA1413	ECA1415
ECA724	ECA1441
ECA1465	ECA1465
ECA1467	ECA1467
ECA1493	ECA1493
ECA1515	ECA1515
ECA189	ECA189
ECA189	ECA190
ECA191	ECA191
ECA189	ECA192
ECA189	ECA193
CB4851	ECA243
CB4853	ECA245
CB4853	ECA246
CB4858	ECA247
CB4855	ECA248
CB4857	ECA249
CB4857	ECA250
CB4858	ECA251
N2	ECA253
N2	ECA254
